candidate,office,district,party,county,precinct,total votes,
Jim Rigby,State House,71,REP,Cambria,Tunnelhill Boro,,
Write In,State House,71,,Cambria,Tunnelhill Boro,,
Frank Burns,State House,72,DEM,Cambria,Tunnelhill Boro,40,
Jerry Carnicella,State House,72,REP,Cambria,Tunnelhill Boro,42,
Write In,State House,72,,Cambria,Tunnelhill Boro,0,
Tommy Sankey,State House,73,DEM/REP,Cambria,Tunnelhill Boro,,
Write In,State House,73,,Cambria,Tunnelhill Boro,,
Bob Casey,U.S. Senate,,DEM,Cambria,Upper Yoder Twp 1,286,
Lou Barletta,U.S. Senate,,REP,Cambria,Upper Yoder Twp 1,444,
Neal Gale,U.S. Senate,,GR,Cambria,Upper Yoder Twp 1,3,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Upper Yoder Twp 1,3,
Write In,U.S. Senate,,,Cambria,Upper Yoder Twp 1,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Upper Yoder Twp 1,294,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Upper Yoder Twp 1,438,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Upper Yoder Twp 1,3,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Upper Yoder Twp 1,5,
Write In,Governor & Lieutenant Governor,,,Cambria,Upper Yoder Twp 1,0,
Brent Ottaway,US House,13,DEM,Cambria,Upper Yoder Twp 1,241,
John Joyce,US House,13,REP,Cambria,Upper Yoder Twp 1,491,
Write In,US House,13,,Cambria,Upper Yoder Twp 1,0,
Susan Boser,US House,15,DEM,Cambria,Upper Yoder Twp 1,,
Glenn Gt Thompson,US House,15,REP,Cambria,Upper Yoder Twp 1,,
Write In,US House,15,,Cambria,Upper Yoder Twp 1,,
Bryan Barbin,State House,71,DEM,Cambria,Upper Yoder Twp 1,,
Jim Rigby,State House,71,REP,Cambria,Upper Yoder Twp 1,,
Write In,State House,71,,Cambria,Upper Yoder Twp 1,,
Frank Burns,State House,72,DEM,Cambria,Upper Yoder Twp 1,374,
Jerry Carnicella,State House,72,REP,Cambria,Upper Yoder Twp 1,361,
Write In,State House,72,,Cambria,Upper Yoder Twp 1,4,
Tommy Sankey,State House,73,DEM/REP,Cambria,Upper Yoder Twp 1,,
Write In,State House,73,,Cambria,Upper Yoder Twp 1,,
Bob Casey,U.S. Senate,,DEM,Cambria,Upper Yoder Twp 2,187,
Lou Barletta,U.S. Senate,,REP,Cambria,Upper Yoder Twp 2,209,
Neal Gale,U.S. Senate,,GR,Cambria,Upper Yoder Twp 2,0,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Upper Yoder Twp 2,4,
Write In,U.S. Senate,,,Cambria,Upper Yoder Twp 2,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Upper Yoder Twp 2,197,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Upper Yoder Twp 2,203,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Upper Yoder Twp 2,2,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Upper Yoder Twp 2,2,
Write In,Governor & Lieutenant Governor,,,Cambria,Upper Yoder Twp 2,0,
Brent Ottaway,US House,13,DEM,Cambria,Upper Yoder Twp 2,163,
John Joyce,US House,13,REP,Cambria,Upper Yoder Twp 2,233,
Write In,US House,13,,Cambria,Upper Yoder Twp 2,1,
Susan Boser,US House,15,DEM,Cambria,Upper Yoder Twp 2,,
Glenn Gt Thompson,US House,15,REP,Cambria,Upper Yoder Twp 2,,
Write In,US House,15,,Cambria,Upper Yoder Twp 2,,
Bryan Barbin,State House,71,DEM,Cambria,Upper Yoder Twp 2,,
Jim Rigby,State House,71,REP,Cambria,Upper Yoder Twp 2,,
Write In,State House,71,,Cambria,Upper Yoder Twp 2,,
Frank Burns,State House,72,DEM,Cambria,Upper Yoder Twp 2,223,
Jerry Carnicella,State House,72,REP,Cambria,Upper Yoder Twp 2,178,
Write In,State House,72,,Cambria,Upper Yoder Twp 2,1,
Tommy Sankey,State House,73,DEM/REP,Cambria,Upper Yoder Twp 2,,
Write In,State House,73,,Cambria,Upper Yoder Twp 2,,
Bob Casey,U.S. Senate,,DEM,Cambria,Upper Yoder Twp 3,242,
Lou Barletta,U.S. Senate,,REP,Cambria,Upper Yoder Twp 3,252,
Neal Gale,U.S. Senate,,GR,Cambria,Upper Yoder Twp 3,2,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Upper Yoder Twp 3,7,
Write In,U.S. Senate,,,Cambria,Upper Yoder Twp 3,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Upper Yoder Twp 3,249,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Upper Yoder Twp 3,255,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Upper Yoder Twp 3,0,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Upper Yoder Twp 3,6,
Write In,Governor & Lieutenant Governor,,,Cambria,Upper Yoder Twp 3,0,
Brent Ottaway,US House,13,DEM,Cambria,Upper Yoder Twp 3,197,
John Joyce,US House,13,REP,Cambria,Upper Yoder Twp 3,310,
Write In,US House,13,,Cambria,Upper Yoder Twp 3,0,
Susan Boser,US House,15,DEM,Cambria,Upper Yoder Twp 3,,
Glenn Gt Thompson,US House,15,REP,Cambria,Upper Yoder Twp 3,,
Write In,US House,15,,Cambria,Upper Yoder Twp 3,,
Bryan Barbin,State House,71,DEM,Cambria,Upper Yoder Twp 3,,
Jim Rigby,State House,71,REP,Cambria,Upper Yoder Twp 3,,
Write In,State House,71,,Cambria,Upper Yoder Twp 3,,
Frank Burns,State House,72,DEM,Cambria,Upper Yoder Twp 3,278,
Jerry Carnicella,State House,72,REP,Cambria,Upper Yoder Twp 3,226,
Write In,State House,72,,Cambria,Upper Yoder Twp 3,1,
Tommy Sankey,State House,73,DEM/REP,Cambria,Upper Yoder Twp 3,,
Write In,State House,73,,Cambria,Upper Yoder Twp 3,,
Bob Casey,U.S. Senate,,DEM,Cambria,Upper Yoder Twp 4,240,
Lou Barletta,U.S. Senate,,REP,Cambria,Upper Yoder Twp 4,223,
Neal Gale,U.S. Senate,,GR,Cambria,Upper Yoder Twp 4,1,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Upper Yoder Twp 4,1,
Write In,U.S. Senate,,,Cambria,Upper Yoder Twp 4,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Upper Yoder Twp 4,239,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Upper Yoder Twp 4,223,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Upper Yoder Twp 4,1,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Upper Yoder Twp 4,4,
Write In,Governor & Lieutenant Governor,,,Cambria,Upper Yoder Twp 4,0,
Brent Ottaway,US House,13,DEM,Cambria,Upper Yoder Twp 4,194,
John Joyce,US House,13,REP,Cambria,Upper Yoder Twp 4,272,
Write In,US House,13,,Cambria,Upper Yoder Twp 4,0,
Susan Boser,US House,15,DEM,Cambria,Upper Yoder Twp 4,,
Glenn Gt Thompson,US House,15,REP,Cambria,Upper Yoder Twp 4,,
Write In,US House,15,,Cambria,Upper Yoder Twp 4,,
Bryan Barbin,State House,71,DEM,Cambria,Upper Yoder Twp 4,,
Jim Rigby,State House,71,REP,Cambria,Upper Yoder Twp 4,,
Write In,State House,71,,Cambria,Upper Yoder Twp 4,,
Frank Burns,State House,72,DEM,Cambria,Upper Yoder Twp 4,278,
Jerry Carnicella,State House,72,REP,Cambria,Upper Yoder Twp 4,190,
Write In,State House,72,,Cambria,Upper Yoder Twp 4,1,
Tommy Sankey,State House,73,DEM/REP,Cambria,Upper Yoder Twp 4,,
Write In,State House,73,,Cambria,Upper Yoder Twp 4,,
Bob Casey,U.S. Senate,,DEM,Cambria,Vintondale Boro,42,
Lou Barletta,U.S. Senate,,REP,Cambria,Vintondale Boro,72,
Neal Gale,U.S. Senate,,GR,Cambria,Vintondale Boro,0,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Vintondale Boro,0,
Write In,U.S. Senate,,,Cambria,Vintondale Boro,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Vintondale Boro,44,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Vintondale Boro,68,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Vintondale Boro,2,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Vintondale Boro,1,
Write In,Governor & Lieutenant Governor,,,Cambria,Vintondale Boro,0,
Brent Ottaway,US House,13,DEM,Cambria,Vintondale Boro,,
John Joyce,US House,13,REP,Cambria,Vintondale Boro,,
Write In,US House,13,,Cambria,Vintondale Boro,,
Susan Boser,US House,15,DEM,Cambria,Vintondale Boro,41,
Glenn Gt Thompson,US House,15,REP,Cambria,Vintondale Boro,72,
Write In,US House,15,,Cambria,Vintondale Boro,0,
Bryan Barbin,State House,71,DEM,Cambria,Vintondale Boro,,
Jim Rigby,State House,71,REP,Cambria,Vintondale Boro,,
Write In,State House,71,,Cambria,Vintondale Boro,,
Frank Burns,State House,72,DEM,Cambria,Vintondale Boro,,
Jerry Carnicella,State House,72,REP,Cambria,Vintondale Boro,,
Write In,State House,72,,Cambria,Vintondale Boro,,
Tommy Sankey,State House,73,DEM/REP,Cambria,Vintondale Boro,104,
Write In,State House,73,,Cambria,Vintondale Boro,0,
Bob Casey,U.S. Senate,,DEM,Cambria,Washington Twp,149,
Lou Barletta,U.S. Senate,,REP,Cambria,Washington Twp,197,
Neal Gale,U.S. Senate,,GR,Cambria,Washington Twp,1,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Washington Twp,3,
Write In,U.S. Senate,,,Cambria,Washington Twp,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Washington Twp,143,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Washington Twp,203,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Washington Twp,3,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Washington Twp,4,
Write In,Governor & Lieutenant Governor,,,Cambria,Washington Twp,0,
Brent Ottaway,US House,13,DEM,Cambria,Washington Twp,,
John Joyce,US House,13,REP,Cambria,Washington Twp,,
Write In,US House,13,,Cambria,Washington Twp,,
Susan Boser,US House,15,DEM,Cambria,Washington Twp,130,
Glenn Gt Thompson,US House,15,REP,Cambria,Washington Twp,216,
Write In,US House,15,,Cambria,Washington Twp,0,
Bryan Barbin,State House,71,DEM,Cambria,Washington Twp,,
Jim Rigby,State House,71,REP,Cambria,Washington Twp,,
Write In,State House,71,,Cambria,Washington Twp,,
Frank Burns,State House,72,DEM,Cambria,Washington Twp,182,
Jerry Carnicella,State House,72,REP,Cambria,Washington Twp,168,
Write In,State House,72,,Cambria,Washington Twp,1,
Tommy Sankey,State House,73,DEM/REP,Cambria,Washington Twp,,
Write In,State House,73,,Cambria,Washington Twp,,
Bob Casey,U.S. Senate,,DEM,Cambria,West Carroll Twp - North,95,
Lou Barletta,U.S. Senate,,REP,Cambria,West Carroll Twp - North,110,
Neal Gale,U.S. Senate,,GR,Cambria,West Carroll Twp - North,2,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,West Carroll Twp - North,3,
Write In,U.S. Senate,,,Cambria,West Carroll Twp - North,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,West Carroll Twp - North,92,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,West Carroll Twp - North,113,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,West Carroll Twp - North,2,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,West Carroll Twp - North,2,
Write In,Governor & Lieutenant Governor,,,Cambria,West Carroll Twp - North,0,
Brent Ottaway,US House,13,DEM,Cambria,West Carroll Twp - North,,
John Joyce,US House,13,REP,Cambria,West Carroll Twp - North,,
Write In,US House,13,,Cambria,West Carroll Twp - North,,
Susan Boser,US House,15,DEM,Cambria,West Carroll Twp - North,71,
Glenn Gt Thompson,US House,15,REP,Cambria,West Carroll Twp - North,135,
Write In,US House,15,,Cambria,West Carroll Twp - North,1,
Bryan Barbin,State House,71,DEM,Cambria,West Carroll Twp - North,,
Jim Rigby,State House,71,REP,Cambria,West Carroll Twp - North,,
Write In,State House,71,,Cambria,West Carroll Twp - North,,
Frank Burns,State House,72,DEM,Cambria,West Carroll Twp - North,,
Jerry Carnicella,State House,72,REP,Cambria,West Carroll Twp - North,,
Write In,State House,72,,Cambria,West Carroll Twp - North,,
Tommy Sankey,State House,73,DEM/REP,Cambria,West Carroll Twp - North,204,
Write In,State House,73,,Cambria,West Carroll Twp - North,2,
Bob Casey,U.S. Senate,,DEM,Cambria,West Carroll Twp - South,101,
Lou Barletta,U.S. Senate,,REP,Cambria,West Carroll Twp - South,117,
Neal Gale,U.S. Senate,,GR,Cambria,West Carroll Twp - South,2,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,West Carroll Twp - South,4,
Write In,U.S. Senate,,,Cambria,West Carroll Twp - South,1,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,West Carroll Twp - South,99,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,West Carroll Twp - South,117,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,West Carroll Twp - South,3,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,West Carroll Twp - South,6,
Write In,Governor & Lieutenant Governor,,,Cambria,West Carroll Twp - South,0,
Brent Ottaway,US House,13,DEM,Cambria,West Carroll Twp - South,,
John Joyce,US House,13,REP,Cambria,West Carroll Twp - South,,
Write In,US House,13,,Cambria,West Carroll Twp - South,,
Susan Boser,US House,15,DEM,Cambria,West Carroll Twp - South,95,
Glenn Gt Thompson,US House,15,REP,Cambria,West Carroll Twp - South,129,
Write In,US House,15,,Cambria,West Carroll Twp - South,0,
Bryan Barbin,State House,71,DEM,Cambria,West Carroll Twp - South,,
Jim Rigby,State House,71,REP,Cambria,West Carroll Twp - South,,
Write In,State House,71,,Cambria,West Carroll Twp - South,,
Frank Burns,State House,72,DEM,Cambria,West Carroll Twp - South,,
Jerry Carnicella,State House,72,REP,Cambria,West Carroll Twp - South,,
Write In,State House,72,,Cambria,West Carroll Twp - South,,
Tommy Sankey,State House,73,DEM/REP,Cambria,West Carroll Twp - South,212,
Write In,State House,73,,Cambria,West Carroll Twp - South,2,
Bob Casey,U.S. Senate,,DEM,Cambria,Westmont Boro 1,353,
Lou Barletta,U.S. Senate,,REP,Cambria,Westmont Boro 1,358,
Neal Gale,U.S. Senate,,GR,Cambria,Westmont Boro 1,5,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Westmont Boro 1,6,
Write In,U.S. Senate,,,Cambria,Westmont Boro 1,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Westmont Boro 1,353,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Westmont Boro 1,353,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Westmont Boro 1,7,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Westmont Boro 1,8,
Write In,Governor & Lieutenant Governor,,,Cambria,Westmont Boro 1,2,
Brent Ottaway,US House,13,DEM,Cambria,Westmont Boro 1,316,
John Joyce,US House,13,REP,Cambria,Westmont Boro 1,397,
Write In,US House,13,,Cambria,Westmont Boro 1,1,
Susan Boser,US House,15,DEM,Cambria,Westmont Boro 1,,
Glenn Gt Thompson,US House,15,REP,Cambria,Westmont Boro 1,,
Write In,US House,15,,Cambria,Westmont Boro 1,,
Bryan Barbin,State House,71,DEM,Cambria,Westmont Boro 1,393,
Jim Rigby,State House,71,REP,Cambria,Westmont Boro 1,326,
Write In,State House,71,,Cambria,Westmont Boro 1,2,
Frank Burns,State House,72,DEM,Cambria,Westmont Boro 1,,
Jerry Carnicella,State House,72,REP,Cambria,Westmont Boro 1,,
Write In,State House,72,,Cambria,Westmont Boro 1,,
Tommy Sankey,State House,73,DEM/REP,Cambria,Westmont Boro 1,,
Write In,State House,73,,Cambria,Westmont Boro 1,,
Bob Casey,U.S. Senate,,DEM,Cambria,Westmont Boro 2,388,
Lou Barletta,U.S. Senate,,REP,Cambria,Westmont Boro 2,573,
Neal Gale,U.S. Senate,,GR,Cambria,Westmont Boro 2,3,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Westmont Boro 2,7,
Write In,U.S. Senate,,,Cambria,Westmont Boro 2,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Westmont Boro 2,395,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Westmont Boro 2,565,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Westmont Boro 2,5,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Westmont Boro 2,6,
Write In,Governor & Lieutenant Governor,,,Cambria,Westmont Boro 2,0,
Brent Ottaway,US House,13,DEM,Cambria,Westmont Boro 2,347,
John Joyce,US House,13,REP,Cambria,Westmont Boro 2,623,
Write In,US House,13,,Cambria,Westmont Boro 2,0,
Susan Boser,US House,15,DEM,Cambria,Westmont Boro 2,,
Glenn Gt Thompson,US House,15,REP,Cambria,Westmont Boro 2,,
Write In,US House,15,,Cambria,Westmont Boro 2,,
Bryan Barbin,State House,71,DEM,Cambria,Westmont Boro 2,447,
Jim Rigby,State House,71,REP,Cambria,Westmont Boro 2,525,
Write In,State House,71,,Cambria,Westmont Boro 2,1,
Frank Burns,State House,72,DEM,Cambria,Westmont Boro 2,,
Jerry Carnicella,State House,72,REP,Cambria,Westmont Boro 2,,
Write In,State House,72,,Cambria,Westmont Boro 2,,
Tommy Sankey,State House,73,DEM/REP,Cambria,Westmont Boro 2,,
Write In,State House,73,,Cambria,Westmont Boro 2,,
Bob Casey,U.S. Senate,,DEM,Cambria,Westmont Boro 3,390,
Lou Barletta,U.S. Senate,,REP,Cambria,Westmont Boro 3,489,
Neal Gale,U.S. Senate,,GR,Cambria,Westmont Boro 3,4,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Westmont Boro 3,4,
Write In,U.S. Senate,,,Cambria,Westmont Boro 3,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Westmont Boro 3,414,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Westmont Boro 3,474,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Westmont Boro 3,3,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Westmont Boro 3,3,
Write In,Governor & Lieutenant Governor,,,Cambria,Westmont Boro 3,0,
Brent Ottaway,US House,13,DEM,Cambria,Westmont Boro 3,349,
John Joyce,US House,13,REP,Cambria,Westmont Boro 3,540,
Write In,US House,13,,Cambria,Westmont Boro 3,0,
Susan Boser,US House,15,DEM,Cambria,Westmont Boro 3,,
Glenn Gt Thompson,US House,15,REP,Cambria,Westmont Boro 3,,
Write In,US House,15,,Cambria,Westmont Boro 3,,
Bryan Barbin,State House,71,DEM,Cambria,Westmont Boro 3,430,
Jim Rigby,State House,71,REP,Cambria,Westmont Boro 3,465,
Write In,State House,71,,Cambria,Westmont Boro 3,0,
Frank Burns,State House,72,DEM,Cambria,Westmont Boro 3,,
Jerry Carnicella,State House,72,REP,Cambria,Westmont Boro 3,,
Write In,State House,72,,Cambria,Westmont Boro 3,,
Tommy Sankey,State House,73,DEM/REP,Cambria,Westmont Boro 3,,
Write In,State House,73,,Cambria,Westmont Boro 3,,
Bob Casey,U.S. Senate,,DEM,Cambria,West Taylor Twp,124,
Lou Barletta,U.S. Senate,,REP,Cambria,West Taylor Twp,161,
Neal Gale,U.S. Senate,,GR,Cambria,West Taylor Twp,1,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,West Taylor Twp,1,
Write In,U.S. Senate,,,Cambria,West Taylor Twp,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,West Taylor Twp,120,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,West Taylor Twp,171,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,West Taylor Twp,2,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,West Taylor Twp,0,
Write In,Governor & Lieutenant Governor,,,Cambria,West Taylor Twp,0,
Brent Ottaway,US House,13,DEM,Cambria,West Taylor Twp,105,
John Joyce,US House,13,REP,Cambria,West Taylor Twp,176,
Write In,US House,13,,Cambria,West Taylor Twp,0,
Susan Boser,US House,15,DEM,Cambria,West Taylor Twp,,
Glenn Gt Thompson,US House,15,REP,Cambria,West Taylor Twp,,
Write In,US House,15,,Cambria,West Taylor Twp,,
Bryan Barbin,State House,71,DEM,Cambria,West Taylor Twp,135,
Jim Rigby,State House,71,REP,Cambria,West Taylor Twp,158,
Write In,State House,71,,Cambria,West Taylor Twp,0,
Frank Burns,State House,72,DEM,Cambria,West Taylor Twp,,
Jerry Carnicella,State House,72,REP,Cambria,West Taylor Twp,,
Write In,State House,72,,Cambria,West Taylor Twp,,
Tommy Sankey,State House,73,DEM/REP,Cambria,West Taylor Twp,,
Write In,State House,73,,Cambria,West Taylor Twp,,
Bob Casey,U.S. Senate,,DEM,Cambria,White Twp,101,
Lou Barletta,U.S. Senate,,REP,Cambria,White Twp,227,
Neal Gale,U.S. Senate,,GR,Cambria,White Twp,1,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,White Twp,1,
Write In,U.S. Senate,,,Cambria,White Twp,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,White Twp,96,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,White Twp,226,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,White Twp,5,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,White Twp,3,
Write In,Governor & Lieutenant Governor,,,Cambria,White Twp,0,
Brent Ottaway,US House,13,DEM,Cambria,White Twp,,
John Joyce,US House,13,REP,Cambria,White Twp,,
Write In,US House,13,,Cambria,White Twp,,
Susan Boser,US House,15,DEM,Cambria,White Twp,81,
Glenn Gt Thompson,US House,15,REP,Cambria,White Twp,247,
Write In,US House,15,,Cambria,White Twp,0,
Bryan Barbin,State House,71,DEM,Cambria,White Twp,,
Jim Rigby,State House,71,REP,Cambria,White Twp,,
Write In,State House,71,,Cambria,White Twp,,
Frank Burns,State House,72,DEM,Cambria,White Twp,118,
Jerry Carnicella,State House,72,REP,Cambria,White Twp,211,
Write In,State House,72,,Cambria,White Twp,0,
Tommy Sankey,State House,73,DEM/REP,Cambria,White Twp,,
Write In,State House,73,,Cambria,White Twp,,
Bob Casey,U.S. Senate,,DEM,Cambria,Wilmore Boro,31,
Lou Barletta,U.S. Senate,,REP,Cambria,Wilmore Boro,49,
Neal Gale,U.S. Senate,,GR,Cambria,Wilmore Boro,0,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Wilmore Boro,0,
Write In,U.S. Senate,,,Cambria,Wilmore Boro,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Wilmore Boro,28,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Wilmore Boro,52,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Wilmore Boro,0,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Wilmore Boro,0,
Write In,Governor & Lieutenant Governor,,,Cambria,Wilmore Boro,0,
Brent Ottaway,US House,13,DEM,Cambria,Wilmore Boro,,
John Joyce,US House,13,REP,Cambria,Wilmore Boro,,
Write In,US House,13,,Cambria,Wilmore Boro,,
Susan Boser,US House,15,DEM,Cambria,Wilmore Boro,26,
Glenn Gt Thompson,US House,15,REP,Cambria,Wilmore Boro,54,
Write In,US House,15,,Cambria,Wilmore Boro,0,
Bryan Barbin,State House,71,DEM,Cambria,Wilmore Boro,,
Jim Rigby,State House,71,REP,Cambria,Wilmore Boro,,
Write In,State House,71,,Cambria,Wilmore Boro,,
Frank Burns,State House,72,DEM,Cambria,Wilmore Boro,35,
Jerry Carnicella,State House,72,REP,Cambria,Wilmore Boro,45,
Write In,State House,72,,Cambria,Wilmore Boro,0,
Tommy Sankey,State House,73,DEM/REP,Cambria,Wilmore Boro,,
Write In,State House,73,,Cambria,Wilmore Boro,,
Bob Casey,U.S. Senate,,DEM,Cambria,Johns-Center Town,205,
Lou Barletta,U.S. Senate,,REP,Cambria,Johns-Center Town,68,
Neal Gale,U.S. Senate,,GR,Cambria,Johns-Center Town,3,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Johns-Center Town,3,
Write In,U.S. Senate,,,Cambria,Johns-Center Town,1,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Johns-Center Town,198,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Johns-Center Town,74,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Johns-Center Town,6,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Johns-Center Town,4,
Write In,Governor & Lieutenant Governor,,,Cambria,Johns-Center Town,1,
Brent Ottaway,US House,13,DEM,Cambria,Johns-Center Town,183,
John Joyce,US House,13,REP,Cambria,Johns-Center Town,96,
Write In,US House,13,,Cambria,Johns-Center Town,1,
Susan Boser,US House,15,DEM,Cambria,Johns-Center Town,,
Glenn Gt Thompson,US House,15,REP,Cambria,Johns-Center Town,,
Write In,US House,15,,Cambria,Johns-Center Town,,
Bryan Barbin,State House,71,DEM,Cambria,Johns-Center Town,218,
Jim Rigby,State House,71,REP,Cambria,Johns-Center Town,62,
Write In,State House,71,,Cambria,Johns-Center Town,1,
Frank Burns,State House,72,DEM,Cambria,Johns-Center Town,,
Jerry Carnicella,State House,72,REP,Cambria,Johns-Center Town,,
Write In,State House,72,,Cambria,Johns-Center Town,,
Tommy Sankey,State House,73,DEM/REP,Cambria,Johns-Center Town,,
Write In,State House,73,,Cambria,Johns-Center Town,,
Bob Casey,U.S. Senate,,DEM,Cambria,Johns-Kernville,118,
Lou Barletta,U.S. Senate,,REP,Cambria,Johns-Kernville,52,
Neal Gale,U.S. Senate,,GR,Cambria,Johns-Kernville,0,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Johns-Kernville,0,
Write In,U.S. Senate,,,Cambria,Johns-Kernville,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Johns-Kernville,114,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Johns-Kernville,56,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Johns-Kernville,0,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Johns-Kernville,2,
Write In,Governor & Lieutenant Governor,,,Cambria,Johns-Kernville,0,
Brent Ottaway,US House,13,DEM,Cambria,Johns-Kernville,111,
John Joyce,US House,13,REP,Cambria,Johns-Kernville,57,
Write In,US House,13,,Cambria,Johns-Kernville,0,
Susan Boser,US House,15,DEM,Cambria,Johns-Kernville,,
Glenn Gt Thompson,US House,15,REP,Cambria,Johns-Kernville,,
Write In,US House,15,,Cambria,Johns-Kernville,,
Bryan Barbin,State House,71,DEM,Cambria,Johns-Kernville,114,
Jim Rigby,State House,71,REP,Cambria,Johns-Kernville,57,
Write In,State House,71,,Cambria,Johns-Kernville,0,
Frank Burns,State House,72,DEM,Cambria,Johns-Kernville,,
