county,precinct,office,district,party,candidate,votes,election_day,absentee,provisional
Perry,0007 GREENWOOD TOWNSHIP,REPRESENTATIVE IN CONGRESS DISTRICT 12,,DEM,MARC FRIEDENBERG,143,139,4,0
Perry,0007 GREENWOOD TOWNSHIP,REPRESENTATIVE IN CONGRESS DISTRICT 12,,REP,TOM MARINO,362,350,12,0
Perry,0007 GREENWOOD TOWNSHIP,REPRESENTATIVE IN CONGRESS DISTRICT 12,,,Write-ins,0,0,0,0
Perry,0007 GREENWOOD TOWNSHIP,REPRESENTATIVE IN CONGRESS DISTRICT 12,,,Over Votes,0,0,0,0
Perry,0007 GREENWOOD TOWNSHIP,REPRESENTATIVE IN CONGRESS DISTRICT 12,,,Under Votes,8,8,0,0
Perry,0007 GREENWOOD TOWNSHIP,REPRESENTATIVE IN THE GENERAL ASSEMBLY DISTRICT 86,,DEM,KAREN ANN ANDERSON,127,123,4,0
Perry,0007 GREENWOOD TOWNSHIP,REPRESENTATIVE IN THE GENERAL ASSEMBLY DISTRICT 86,,REP,MARK K KELLER,381,369,12,0
Perry,0007 GREENWOOD TOWNSHIP,REPRESENTATIVE IN THE GENERAL ASSEMBLY DISTRICT 86,,,Write-ins,2,2,0,0
Perry,0007 GREENWOOD TOWNSHIP,REPRESENTATIVE IN THE GENERAL ASSEMBLY DISTRICT 86,,,Over Votes,0,0,0,0
Perry,0007 GREENWOOD TOWNSHIP,REPRESENTATIVE IN THE GENERAL ASSEMBLY DISTRICT 86,,,Under Votes,3,3,0,0
Perry,0008 HOWE TOWNSHIP,,,,Registered Voters,308,,,
Perry,0008 HOWE TOWNSHIP,,,,Ballots Cast,224,217,7,0
Perry,0008 HOWE TOWNSHIP,STRAIGHT PARTY,,DEM,DEMOCRATIC,24,22,2,0
Perry,0008 HOWE TOWNSHIP,STRAIGHT PARTY,,REP,REPUBLICAN,85,83,2,0
Perry,0008 HOWE TOWNSHIP,STRAIGHT PARTY,,GRN,GREEN,0,0,0,0
