candidate,office,district,party,county,precinct,election_day,absentee,provisional,emergency,votes
Krawchuk /Smith,Governor,,LIB,Bradford,SHESHEQUIN TOWNSHIP,6,0,0,0,6
Write In Votes,Governor,,,Bradford,SHESHEQUIN TOWNSHIP,2,0,0,0,2
Marc Friedenberg,U.S. House,12,DEM,Bradford,SHESHEQUIN TOWNSHIP,94,3,1,0,98
Tom Marino,U.S. House,12,REP,Bradford,SHESHEQUIN TOWNSHIP,318,18,0,0,336
Write In Votes,U.S. House,12,,Bradford,SHESHEQUIN TOWNSHIP,1,0,0,0,1
Carrie Heath,State House,68,DEM,Bradford,SHESHEQUIN TOWNSHIP,,,,,
Clint Owlet,State House,68,REP,Bradford,SHESHEQUIN TOWNSHIP,,,,,
Write In Votes,State House,68,,Bradford,SHESHEQUIN TOWNSHIP,,,,,
Donna Iannone,State House,110,DEM,Bradford,SHESHEQUIN TOWNSHIP,85,4,0,0,89
Tina Pickett,State House,110,REP,Bradford,SHESHEQUIN TOWNSHIP,332,17,1,0,350
Write In Votes,State House,110,,Bradford,SHESHEQUIN TOWNSHIP,1,0,0,0,1
,Registered Voters,,,Bradford,SMITHFIELD TOWNSHIP,982,982,982,982,982
,Ballots Cast,,,Bradford,SMITHFIELD TOWNSHIP,549,31,1,0,581
,Straight Party,,DEM,Bradford,SMITHFIELD TOWNSHIP,61,9,0,0,70
,Straight Party,,REP,Bradford,SMITHFIELD TOWNSHIP,261,15,0,0,276
,Straight Party,,GRN,Bradford,SMITHFIELD TOWNSHIP,2,0,0,0,2
,Straight Party,,LIB,Bradford,SMITHFIELD TOWNSHIP,0,0,0,0,0
Bob Casey Jr,U.S. Senate,,DEM,Bradford,SMITHFIELD TOWNSHIP,139,11,1,0,151
Lou Barletta,U.S. Senate,,REP,Bradford,SMITHFIELD TOWNSHIP,389,20,0,0,409
Neal Gale,U.S. Senate,,GRN,Bradford,SMITHFIELD TOWNSHIP,6,0,0,0,6
Dale R Kerns Jr,U.S. Senate,,LIB,Bradford,SMITHFIELD TOWNSHIP,3,0,0,0,3
Write In Votes,U.S. Senate,,,Bradford,SMITHFIELD TOWNSHIP,1,0,0,0,1
Wolf/Fetterman,Governor,,DEM,Bradford,SMITHFIELD TOWNSHIP,140,11,1,0,152
Wagner/Bartos,Governor,,REP,Bradford,SMITHFIELD TOWNSHIP,390,20,0,0,410
Glover/Bostick,Governor,,GRN,Bradford,SMITHFIELD TOWNSHIP,8,0,0,0,8
Krawchuk /Smith,Governor,,LIB,Bradford,SMITHFIELD TOWNSHIP,7,0,0,0,7
Write In Votes,Governor,,,Bradford,SMITHFIELD TOWNSHIP,0,0,0,0,0
Marc Friedenberg,U.S. House,12,DEM,Bradford,SMITHFIELD TOWNSHIP,115,11,0,0,126
Tom Marino,U.S. House,12,REP,Bradford,SMITHFIELD TOWNSHIP,418,20,1,0,439
Write In Votes,U.S. House,12,,Bradford,SMITHFIELD TOWNSHIP,0,0,0,0,0
Carrie Heath,State House,68,DEM,Bradford,SMITHFIELD TOWNSHIP,115,10,0,0,125
Clint Owlet,State House,68,REP,Bradford,SMITHFIELD TOWNSHIP,423,21,1,0,445
Write In Votes,State House,68,,Bradford,SMITHFIELD TOWNSHIP,0,0,0,0,0
Donna Iannone,State House,110,DEM,Bradford,SMITHFIELD TOWNSHIP,,,,,
Tina Pickett,State House,110,REP,Bradford,SMITHFIELD TOWNSHIP,,,,,
Write In Votes,State House,110,,Bradford,SMITHFIELD TOWNSHIP,,,,,
,Registered Voters,,,Bradford,SOUTH CREEK TOWNSHIP,751,751,751,751,751
,Ballots Cast,,,Bradford,SOUTH CREEK TOWNSHIP,417,10,0,0,427
,Straight Party,,DEM,Bradford,SOUTH CREEK TOWNSHIP,29,1,0,0,30
,Straight Party,,REP,Bradford,SOUTH CREEK TOWNSHIP,215,5,0,0,220
,Straight Party,,GRN,Bradford,SOUTH CREEK TOWNSHIP,0,0,0,0,0
,Straight Party,,LIB,Bradford,SOUTH CREEK TOWNSHIP,0,0,0,0,0
Bob Casey Jr,U.S. Senate,,DEM,Bradford,SOUTH CREEK TOWNSHIP,92,1,0,0,93
Lou Barletta,U.S. Senate,,REP,Bradford,SOUTH CREEK TOWNSHIP,311,9,0,0,320
Neal Gale,U.S. Senate,,GRN,Bradford,SOUTH CREEK TOWNSHIP,2,0,0,0,2
Dale R Kerns Jr,U.S. Senate,,LIB,Bradford,SOUTH CREEK TOWNSHIP,3,0,0,0,3
Write In Votes,U.S. Senate,,,Bradford,SOUTH CREEK TOWNSHIP,0,0,0,0,0
Wolf/Fetterman,Governor,,DEM,Bradford,SOUTH CREEK TOWNSHIP,84,1,0,0,85
Wagner/Bartos,Governor,,REP,Bradford,SOUTH CREEK TOWNSHIP,318,9,0,0,327
Glover/Bostick,Governor,,GRN,Bradford,SOUTH CREEK TOWNSHIP,5,0,0,0,5
Krawchuk /Smith,Governor,,LIB,Bradford,SOUTH CREEK TOWNSHIP,5,0,0,0,5
Write In Votes,Governor,,,Bradford,SOUTH CREEK TOWNSHIP,0,0,0,0,0
Marc Friedenberg,U.S. House,12,DEM,Bradford,SOUTH CREEK TOWNSHIP,77,1,0,0,78
Tom Marino,U.S. House,12,REP,Bradford,SOUTH CREEK TOWNSHIP,327,9,0,0,336
Write In Votes,U.S. House,12,,Bradford,SOUTH CREEK TOWNSHIP,0,0,0,0,0
Carrie Heath,State House,68,DEM,Bradford,SOUTH CREEK TOWNSHIP,68,1,0,0,69
Clint Owlet,State House,68,REP,Bradford,SOUTH CREEK TOWNSHIP,337,9,0,0,346
Write In Votes,State House,68,,Bradford,SOUTH CREEK TOWNSHIP,0,0,0,0,0
Donna Iannone,State House,110,DEM,Bradford,SOUTH CREEK TOWNSHIP,,,,,
Tina Pickett,State House,110,REP,Bradford,SOUTH CREEK TOWNSHIP,,,,,
Write In Votes,State House,110,,Bradford,SOUTH CREEK TOWNSHIP,,,,,
,Registered Voters,,,Bradford,SOUTH WAVERLY BOROUGH,706,706,706,706,706
,Ballots Cast,,,Bradford,SOUTH WAVERLY BOROUGH,378,17,3,0,398
,Straight Party,,DEM,Bradford,SOUTH WAVERLY BOROUGH,75,6,0,0,81
,Straight Party,,REP,Bradford,SOUTH WAVERLY BOROUGH,114,6,2,0,122
,Straight Party,,GRN,Bradford,SOUTH WAVERLY BOROUGH,0,0,0,0,0
,Straight Party,,LIB,Bradford,SOUTH WAVERLY BOROUGH,1,0,0,0,1
Bob Casey Jr,U.S. Senate,,DEM,Bradford,SOUTH WAVERLY BOROUGH,179,10,1,0,190
Lou Barletta,U.S. Senate,,REP,Bradford,SOUTH WAVERLY BOROUGH,185,7,2,0,194
Neal Gale,U.S. Senate,,GRN,Bradford,SOUTH WAVERLY BOROUGH,2,0,0,0,2
Dale R Kerns Jr,U.S. Senate,,LIB,Bradford,SOUTH WAVERLY BOROUGH,5,0,0,0,5
Write In Votes,U.S. Senate,,,Bradford,SOUTH WAVERLY BOROUGH,0,0,0,0,0
Wolf/Fetterman,Governor,,DEM,Bradford,SOUTH WAVERLY BOROUGH,172,11,0,0,183
Wagner/Bartos,Governor,,REP,Bradford,SOUTH WAVERLY BOROUGH,183,6,3,0,192
Glover/Bostick,Governor,,GRN,Bradford,SOUTH WAVERLY BOROUGH,4,0,0,0,4
Krawchuk /Smith,Governor,,LIB,Bradford,SOUTH WAVERLY BOROUGH,9,0,0,0,9
Write In Votes,Governor,,,Bradford,SOUTH WAVERLY BOROUGH,0,0,0,0,0
Marc Friedenberg,U.S. House,12,DEM,Bradford,SOUTH WAVERLY BOROUGH,154,9,0,0,163
Tom Marino,U.S. House,12,REP,Bradford,SOUTH WAVERLY BOROUGH,209,8,3,0,220
Write In Votes,U.S. House,12,,Bradford,SOUTH WAVERLY BOROUGH,0,0,0,0,0
Carrie Heath,State House,68,DEM,Bradford,SOUTH WAVERLY BOROUGH,,,,,
Clint Owlet,State House,68,REP,Bradford,SOUTH WAVERLY BOROUGH,,,,,
Write In Votes,State House,68,,Bradford,SOUTH WAVERLY BOROUGH,,,,,
Donna Iannone,State House,110,DEM,Bradford,SOUTH WAVERLY BOROUGH,125,7,0,0,132
Tina Pickett,State House,110,REP,Bradford,SOUTH WAVERLY BOROUGH,242,10,3,0,255
Write In Votes,State House,110,,Bradford,SOUTH WAVERLY BOROUGH,2,0,0,0,2
,Registered Voters,,,Bradford,SPRINGFIELD TOWNSHIP,747,747,747,747,747
,Ballots Cast,,,Bradford,SPRINGFIELD TOWNSHIP,482,14,1,0,497
,Straight Party,,DEM,Bradford,SPRINGFIELD TOWNSHIP,53,3,0,0,56
,Straight Party,,REP,Bradford,SPRINGFIELD TOWNSHIP,225,1,1,0,227
,Straight Party,,GRN,Bradford,SPRINGFIELD TOWNSHIP,0,0,0,0,0
,Straight Party,,LIB,Bradford,SPRINGFIELD TOWNSHIP,1,0,0,0,1
Bob Casey Jr,U.S. Senate,,DEM,Bradford,SPRINGFIELD TOWNSHIP,137,9,0,0,146
Lou Barletta,U.S. Senate,,REP,Bradford,SPRINGFIELD TOWNSHIP,335,5,1,0,341
Neal Gale,U.S. Senate,,GRN,Bradford,SPRINGFIELD TOWNSHIP,1,0,0,0,1
Dale R Kerns Jr,U.S. Senate,,LIB,Bradford,SPRINGFIELD TOWNSHIP,3,0,0,0,3
Write In Votes,U.S. Senate,,,Bradford,SPRINGFIELD TOWNSHIP,0,0,0,0,0
Wolf/Fetterman,Governor,,DEM,Bradford,SPRINGFIELD TOWNSHIP,137,9,0,0,146
Wagner/Bartos,Governor,,REP,Bradford,SPRINGFIELD TOWNSHIP,323,4,1,0,328
Glover/Bostick,Governor,,GRN,Bradford,SPRINGFIELD TOWNSHIP,5,0,0,0,5
Krawchuk /Smith,Governor,,LIB,Bradford,SPRINGFIELD TOWNSHIP,3,0,0,0,3
Write In Votes,Governor,,,Bradford,SPRINGFIELD TOWNSHIP,0,0,0,0,0
Marc Friedenberg,U.S. House,12,DEM,Bradford,SPRINGFIELD TOWNSHIP,117,8,0,0,125
Tom Marino,U.S. House,12,REP,Bradford,SPRINGFIELD TOWNSHIP,352,6,1,0,359
Write In Votes,U.S. House,12,,Bradford,SPRINGFIELD TOWNSHIP,0,0,0,0,0
Carrie Heath,State House,68,DEM,Bradford,SPRINGFIELD TOWNSHIP,92,7,0,0,99
Clint Owlet,State House,68,REP,Bradford,SPRINGFIELD TOWNSHIP,383,6,1,0,390
Write In Votes,State House,68,,Bradford,SPRINGFIELD TOWNSHIP,0,0,0,0,0
Donna Iannone,State House,110,DEM,Bradford,SPRINGFIELD TOWNSHIP,,,,,
Tina Pickett,State House,110,REP,Bradford,SPRINGFIELD TOWNSHIP,,,,,
Write In Votes,State House,110,,Bradford,SPRINGFIELD TOWNSHIP,,,,,
,Registered Voters,,,Bradford,STANDING STONE TOWNSHIP,392,392,392,392,392
,Ballots Cast,,,Bradford,STANDING STONE TOWNSHIP,219,10,1,0,230
,Straight Party,,DEM,Bradford,STANDING STONE TOWNSHIP,29,1,0,0,30
,Straight Party,,REP,Bradford,STANDING STONE TOWNSHIP,71,1,1,0,73
,Straight Party,,GRN,Bradford,STANDING STONE TOWNSHIP,1,0,0,0,1
,Straight Party,,LIB,Bradford,STANDING STONE TOWNSHIP,1,0,0,0,1
Bob Casey Jr,U.S. Senate,,DEM,Bradford,STANDING STONE TOWNSHIP,72,2,0,0,74
Lou Barletta,U.S. Senate,,REP,Bradford,STANDING STONE TOWNSHIP,134,7,1,0,142
Neal Gale,U.S. Senate,,GRN,Bradford,STANDING STONE TOWNSHIP,6,0,0,0,6
Dale R Kerns Jr,U.S. Senate,,LIB,Bradford,STANDING STONE TOWNSHIP,5,1,0,0,6
Write In Votes,U.S. Senate,,,Bradford,STANDING STONE TOWNSHIP,0,0,0,0,0
Wolf/Fetterman,Governor,,DEM,Bradford,STANDING STONE TOWNSHIP,65,3,0,0,68
Wagner/Bartos,Governor,,REP,Bradford,STANDING STONE TOWNSHIP,141,5,1,0,147
Glover/Bostick,Governor,,GRN,Bradford,STANDING STONE TOWNSHIP,6,0,0,0,6
Krawchuk /Smith,Governor,,LIB,Bradford,STANDING STONE TOWNSHIP,7,1,0,0,8
Write In Votes,Governor,,,Bradford,STANDING STONE TOWNSHIP,0,0,0,0,0
Marc Friedenberg,U.S. House,12,DEM,Bradford,STANDING STONE TOWNSHIP,70,1,0,0,71
Tom Marino,U.S. House,12,REP,Bradford,STANDING STONE TOWNSHIP,145,8,1,0,154
Write In Votes,U.S. House,12,,Bradford,STANDING STONE TOWNSHIP,1,0,0,0,1
Carrie Heath,State House,68,DEM,Bradford,STANDING STONE TOWNSHIP,,,,,
Clint Owlet,State House,68,REP,Bradford,STANDING STONE TOWNSHIP,,,,,
Write In Votes,State House,68,,Bradford,STANDING STONE TOWNSHIP,,,,,
Donna Iannone,State House,110,DEM,Bradford,STANDING STONE TOWNSHIP,68,2,0,0,70
Tina Pickett,State House,110,REP,Bradford,STANDING STONE TOWNSHIP,150,7,1,0,158
Write In Votes,State House,110,,Bradford,STANDING STONE TOWNSHIP,0,0,0,0,0
,Registered Voters,,,Bradford,STEVENS TOWNSHIP,290,290,290,290,290
,Ballots Cast,,,Bradford,STEVENS TOWNSHIP,167,5,1,0,173
,Straight Party,,DEM,Bradford,STEVENS TOWNSHIP,14,0,0,0,14
,Straight Party,,REP,Bradford,STEVENS TOWNSHIP,87,4,0,0,91
,Straight Party,,GRN,Bradford,STEVENS TOWNSHIP,0,0,0,0,0
,Straight Party,,LIB,Bradford,STEVENS TOWNSHIP,0,0,0,0,0
Bob Casey Jr,U.S. Senate,,DEM,Bradford,STEVENS TOWNSHIP,42,1,0,0,43
Lou Barletta,U.S. Senate,,REP,Bradford,STEVENS TOWNSHIP,117,4,1,0,122
Neal Gale,U.S. Senate,,GRN,Bradford,STEVENS TOWNSHIP,3,0,0,0,3
Dale R Kerns Jr,U.S. Senate,,LIB,Bradford,STEVENS TOWNSHIP,1,0,0,0,1
Write In Votes,U.S. Senate,,,Bradford,STEVENS TOWNSHIP,0,0,,0,0
Wolf/Fetterman,Governor,,DEM,Bradford,STEVENS TOWNSHIP,43,0,1,0,44
Wagner/Bartos,Governor,,REP,Bradford,STEVENS TOWNSHIP,119,5,0,0,124
Glover/Bostick,Governor,,GRN,Bradford,STEVENS TOWNSHIP,1,0,0,0,1
Krawchuk /Smith,Governor,,LIB,Bradford,STEVENS TOWNSHIP,1,0,0,0,1
Write In Votes,Governor,,,Bradford,STEVENS TOWNSHIP,0,0,0,0,0
Marc Friedenberg,U.S. House,12,DEM,Bradford,STEVENS TOWNSHIP,32,0,1,0,33
Tom Marino,U.S. House,12,REP,Bradford,STEVENS TOWNSHIP,129,5,0,0,134
Write In Votes,U.S. House,12,,Bradford,STEVENS TOWNSHIP,1,0,0,0,1
Carrie Heath,State House,68,DEM,Bradford,STEVENS TOWNSHIP,,,,,
Clint Owlet,State House,68,REP,Bradford,STEVENS TOWNSHIP,,,,,
Write In Votes,State House,68,,Bradford,STEVENS TOWNSHIP,,,,,
Donna Iannone,State House,110,DEM,Bradford,STEVENS TOWNSHIP,33,0,0,0,33
Tina Pickett,State House,110,REP,Bradford,STEVENS TOWNSHIP,134,5,1,0,140
Write In Votes,State House,110,,Bradford,STEVENS TOWNSHIP,0,0,0,0,0
,Registered Voters,,,Bradford,SYLVANIA BOROUGH,120,120,120,120,120
,Ballots Cast,,,Bradford,SYLVANIA BOROUGH,74,3,0,0,77
,Straight Party,,DEM,Bradford,SYLVANIA BOROUGH,7,0,0,0,7
,Straight Party,,REP,Bradford,SYLVANIA BOROUGH,33,0,0,0,33
,Straight Party,,GRN,Bradford,SYLVANIA BOROUGH,0,0,0,0,0
,Straight Party,,LIB,Bradford,SYLVANIA BOROUGH,0,0,0,0,0
Bob Casey Jr,U.S. Senate,,DEM,Bradford,SYLVANIA BOROUGH,24,3,0,0,27
Lou Barletta,U.S. Senate,,REP,Bradford,SYLVANIA BOROUGH,50,0,0,0,50
Neal Gale,U.S. Senate,,GRN,Bradford,SYLVANIA BOROUGH,0,0,0,0,0
Dale R Kerns Jr,U.S. Senate,,LIB,Bradford,SYLVANIA BOROUGH,0,0,0,0,0
Write In Votes,U.S. Senate,,,Bradford,SYLVANIA BOROUGH,0,0,0,0,0
Wolf/Fetterman,Governor,,DEM,Bradford,SYLVANIA BOROUGH,28,3,0,0,31
Wagner/Bartos,Governor,,REP,Bradford,SYLVANIA BOROUGH,42,0,0,0,42
Glover/Bostick,Governor,,GRN,Bradford,SYLVANIA BOROUGH,1,0,0,0,1
Krawchuk /Smith,Governor,,LIB,Bradford,SYLVANIA BOROUGH,2,0,0,0,2
Write In Votes,Governor,,,Bradford,SYLVANIA BOROUGH,0,0,0,0,0
Marc Friedenberg,U.S. House,12,DEM,Bradford,SYLVANIA BOROUGH,18,3,0,0,21
Tom Marino,U.S. House,12,REP,Bradford,SYLVANIA BOROUGH,55,0,0,0,55
Write In Votes,U.S. House,12,,Bradford,SYLVANIA BOROUGH,0,0,0,0,0
Carrie Heath,State House,68,DEM,Bradford,SYLVANIA BOROUGH,13,1,0,0,14
Clint Owlet,State House,68,REP,Bradford,SYLVANIA BOROUGH,60,2,0,0,62
Write In Votes,State House,68,,Bradford,SYLVANIA BOROUGH,0,0,0,0,0
Donna Iannone,State House,110,DEM,Bradford,SYLVANIA BOROUGH,,,,,
Tina Pickett,State House,110,REP,Bradford,SYLVANIA BOROUGH,,,,,
Write In Votes,State House,110,,Bradford,SYLVANIA BOROUGH,,,,,
,Registered Voters,,,Bradford,TERRY TOWNSHIP,536,536,536,536,536
,Ballots Cast,,,Bradford,TERRY TOWNSHIP,314,8,0,0,322
,Straight Party,,DEM,Bradford,TERRY TOWNSHIP,30,0,0,0,30
,Straight Party,,REP,Bradford,TERRY TOWNSHIP,129,3,0,0,132
,Straight Party,,GRN,Bradford,TERRY TOWNSHIP,0,0,0,0,0
,Straight Party,,LIB,Bradford,TERRY TOWNSHIP,0,0,0,0,0
Bob Casey Jr,U.S. Senate,,DEM,Bradford,TERRY TOWNSHIP,95,1,0,0,96
Lou Barletta,U.S. Senate,,REP,Bradford,TERRY TOWNSHIP,209,7,0,0,216
Neal Gale,U.S. Senate,,GRN,Bradford,TERRY TOWNSHIP,1,0,0,0,1
Dale R Kerns Jr,U.S. Senate,,LIB,Bradford,TERRY TOWNSHIP,2,0,0,0,2
Write In Votes,U.S. Senate,,,Bradford,TERRY TOWNSHIP,0,0,,0,0
Wolf/Fetterman,Governor,,DEM,Bradford,TERRY TOWNSHIP,89,1,0,0,90
Wagner/Bartos,Governor,,REP,Bradford,TERRY TOWNSHIP,215,5,0,0,220
Glover/Bostick,Governor,,GRN,Bradford,TERRY TOWNSHIP,2,1,0,0,3
Krawchuk /Smith,Governor,,LIB,Bradford,TERRY TOWNSHIP,3,1,0,0,4
Write In Votes,Governor,,,Bradford,TERRY TOWNSHIP,0,0,0,0,0
Marc Friedenberg,U.S. House,12,DEM,Bradford,TERRY TOWNSHIP,75,2,0,0,77
Tom Marino,U.S. House,12,REP,Bradford,TERRY TOWNSHIP,224,5,0,0,229
Write In Votes,U.S. House,12,,Bradford,TERRY TOWNSHIP,1,0,0,0,1
Carrie Heath,State House,68,DEM,Bradford,TERRY TOWNSHIP,,,,,
Clint Owlet,State House,68,REP,Bradford,TERRY TOWNSHIP,,,,,
Write In Votes,State House,68,,Bradford,TERRY TOWNSHIP,,,,,
Donna Iannone,State House,110,DEM,Bradford,TERRY TOWNSHIP,97,3,0,0,100
Tina Pickett,State House,110,REP,Bradford,TERRY TOWNSHIP,210,5,0,0,215
Write In Votes,State House,110,,Bradford,TERRY TOWNSHIP,2,0,0,0,2
,Registered Voters,,,Bradford,TOWANDA BOROUGH 1ST,355,355,355,355,355
,Ballots Cast,,,Bradford,TOWANDA BOROUGH 1ST,180,2,0,0,182
,Straight Party,,DEM,Bradford,TOWANDA BOROUGH 1ST,18,1,0,0,19
,Straight Party,,REP,Bradford,TOWANDA BOROUGH 1ST,68,0,0,0,68
,Straight Party,,GRN,Bradford,TOWANDA BOROUGH 1ST,0,0,0,0,0
,Straight Party,,LIB,Bradford,TOWANDA BOROUGH 1ST,0,0,0,0,0
Bob Casey Jr,U.S. Senate,,DEM,Bradford,TOWANDA BOROUGH 1ST,55,2,0,0,57
Lou Barletta,U.S. Senate,,REP,Bradford,TOWANDA BOROUGH 1ST,118,0,0,0,118
Neal Gale,U.S. Senate,,GRN,Bradford,TOWANDA BOROUGH 1ST,3,0,0,0,3
Dale R Kerns Jr,U.S. Senate,,LIB,Bradford,TOWANDA BOROUGH 1ST,2,0,0,0,2
Write In Votes,U.S. Senate,,,Bradford,TOWANDA BOROUGH 1ST,0,0,0,0,0
Wolf/Fetterman,Governor,,DEM,Bradford,TOWANDA BOROUGH 1ST,61,2,0,0,63
Wagner/Bartos,Governor,,REP,Bradford,TOWANDA BOROUGH 1ST,117,0,0,0,117
Glover/Bostick,Governor,,GRN,Bradford,TOWANDA BOROUGH 1ST,0,0,0,0,0
Krawchuk /Smith,Governor,,LIB,Bradford,TOWANDA BOROUGH 1ST,1,0,0,0,1
Write In Votes,Governor,,,Bradford,TOWANDA BOROUGH 1ST,0,0,0,0,0
Marc Friedenberg,U.S. House,12,DEM,Bradford,TOWANDA BOROUGH 1ST,55,2,0,0,57
Tom Marino,U.S. House,12,REP,Bradford,TOWANDA BOROUGH 1ST,122,0,0,0,122
Write In Votes,U.S. House,12,,Bradford,TOWANDA BOROUGH 1ST,0,0,0,0,0
Carrie Heath,State House,68,DEM,Bradford,TOWANDA BOROUGH 1ST,,,,,
Clint Owlet,State House,68,REP,Bradford,TOWANDA BOROUGH 1ST,,,,,
Write In Votes,State House,68,,Bradford,TOWANDA BOROUGH 1ST,,,,,
Donna Iannone,State House,110,DEM,Bradford,TOWANDA BOROUGH 1ST,52,2,0,0,54
Tina Pickett,State House,110,REP,Bradford,TOWANDA BOROUGH 1ST,126,0,0,0,126
Write In Votes,State House,110,,Bradford,TOWANDA BOROUGH 1ST,0,0,0,0,0
,Registered Voters,,,Bradford,TOWANDA BOROUGH 2ND,501,501,501,501,501
,Ballots Cast,,,Bradford,TOWANDA BOROUGH 2ND,242,13,0,0,255
,Straight Party,,DEM,Bradford,TOWANDA BOROUGH 2ND,49,3,0,0,52
,Straight Party,,REP,Bradford,TOWANDA BOROUGH 2ND,82,2,0,0,84
,Straight Party,,GRN,Bradford,TOWANDA BOROUGH 2ND,1,0,0,0,1
,Straight Party,,LIB,Bradford,TOWANDA BOROUGH 2ND,3,0,0,0,3
Bob Casey Jr,U.S. Senate,,DEM,Bradford,TOWANDA BOROUGH 2ND,113,10,0,0,123
Lou Barletta,U.S. Senate,,REP,Bradford,TOWANDA BOROUGH 2ND,117,3,0,0,120
Neal Gale,U.S. Senate,,GRN,Bradford,TOWANDA BOROUGH 2ND,2,0,0,0,2
Dale R Kerns Jr,U.S. Senate,,LIB,Bradford,TOWANDA BOROUGH 2ND,8,0,0,0,8
Write In Votes,U.S. Senate,,,Bradford,TOWANDA BOROUGH 2ND,1,0,0,0,1
Wolf/Fetterman,Governor,,DEM,Bradford,TOWANDA BOROUGH 2ND,113,10,0,0,123
Wagner/Bartos,Governor,,REP,Bradford,TOWANDA BOROUGH 2ND,111,2,0,0,113
Glover/Bostick,Governor,,GRN,Bradford,TOWANDA BOROUGH 2ND,5,0,0,0,5
Krawchuk /Smith,Governor,,LIB,Bradford,TOWANDA BOROUGH 2ND,8,0,0,0,8
Write In Votes,Governor,,,Bradford,TOWANDA BOROUGH 2ND,2,0,0,0,2
Marc Friedenberg,U.S. House,12,DEM,Bradford,TOWANDA BOROUGH 2ND,95,6,0,0,101
Tom Marino,U.S. House,12,REP,Bradford,TOWANDA BOROUGH 2ND,130,7,0,0,137
Write In Votes,U.S. House,12,,Bradford,TOWANDA BOROUGH 2ND,0,0,0,0,0
Carrie Heath,State House,68,DEM,Bradford,TOWANDA BOROUGH 2ND,,,,,
Clint Owlet,State House,68,REP,Bradford,TOWANDA BOROUGH 2ND,,,,,
Write In Votes,State House,68,,Bradford,TOWANDA BOROUGH 2ND,,,,,
Donna Iannone,State House,110,DEM,Bradford,TOWANDA BOROUGH 2ND,91,6,0,0,97
Tina Pickett,State House,110,REP,Bradford,TOWANDA BOROUGH 2ND,143,6,0,0,149
Write In Votes,State House,110,,Bradford,TOWANDA BOROUGH 2ND,0,0,0,0,0
,Registered Voters,,,Bradford,TOWANDA BOROUGH 3RD,715,715,715,715,715
,Ballots Cast,,,Bradford,TOWANDA BOROUGH 3RD,388,33,1,0,422
,Straight Party,,DEM,Bradford,TOWANDA BOROUGH 3RD,59,7,0,0,66
,Straight Party,,REP,Bradford,TOWANDA BOROUGH 3RD,102,15,1,0,118
,Straight Party,,GRN,Bradford,TOWANDA BOROUGH 3RD,0,0,0,0,0
,Straight Party,,LIB,Bradford,TOWANDA BOROUGH 3RD,1,0,0,0,1
Bob Casey Jr,U.S. Senate,,DEM,Bradford,TOWANDA BOROUGH 3RD,162,15,0,0,177
Lou Barletta,U.S. Senate,,REP,Bradford,TOWANDA BOROUGH 3RD,214,18,1,0,233
Neal Gale,U.S. Senate,,GRN,Bradford,TOWANDA BOROUGH 3RD,0,0,0,0,0
Dale R Kerns Jr,U.S. Senate,,LIB,Bradford,TOWANDA BOROUGH 3RD,2,0,0,0,2
Write In Votes,U.S. Senate,,,Bradford,TOWANDA BOROUGH 3RD,0,0,0,0,0
Wolf/Fetterman,Governor,,DEM,Bradford,TOWANDA BOROUGH 3RD,168,13,0,0,181
Wagner/Bartos,Governor,,REP,Bradford,TOWANDA BOROUGH 3RD,211,20,1,0,232
Glover/Bostick,Governor,,GRN,Bradford,TOWANDA BOROUGH 3RD,2,0,0,0,2
Krawchuk /Smith,Governor,,LIB,Bradford,TOWANDA BOROUGH 3RD,4,0,0,0,4
Write In Votes,Governor,,,Bradford,TOWANDA BOROUGH 3RD,0,0,0,0,0
Marc Friedenberg,U.S. House,12,DEM,Bradford,TOWANDA BOROUGH 3RD,149,13,0,0,162
Tom Marino,U.S. House,12,REP,Bradford,TOWANDA BOROUGH 3RD,227,20,1,0,248
Write In Votes,U.S. House,12,,Bradford,TOWANDA BOROUGH 3RD,1,0,0,0,1
Carrie Heath,State House,68,DEM,Bradford,TOWANDA BOROUGH 3RD,,,,,
Clint Owlet,State House,68,REP,Bradford,TOWANDA BOROUGH 3RD,,,,,
Write In Votes,State House,68,,Bradford,TOWANDA BOROUGH 3RD,,,,,
Donna Iannone,State House,110,DEM,Bradford,TOWANDA BOROUGH 3RD,127,9,0,0,136
Tina Pickett,State House,110,REP,Bradford,TOWANDA BOROUGH 3RD,358,24,1,0,283
Write In Votes,State House,110,,Bradford,TOWANDA BOROUGH 3RD,0,0,0,0,0
,Registered Voters,,,Bradford,TOWANDA TOWNSHIP,616,616,616,616,616
,Ballots Cast,,,Bradford,TOWANDA TOWNSHIP,287,17,0,0,304
,Straight Party,,DEM,Bradford,TOWANDA TOWNSHIP,50,7,0,0,57
,Straight Party,,REP,Bradford,TOWANDA TOWNSHIP,100,3,0,0,103
,Straight Party,,GRN,Bradford,TOWANDA TOWNSHIP,0,0,0,0,0
,Straight Party,,LIB,Bradford,TOWANDA TOWNSHIP,0,0,0,0,0
Bob Casey Jr,U.S. Senate,,DEM,Bradford,TOWANDA TOWNSHIP,107,13,0,0,120
Lou Barletta,U.S. Senate,,REP,Bradford,TOWANDA TOWNSHIP,171,4,0,0,175
Neal Gale,U.S. Senate,,GRN,Bradford,TOWANDA TOWNSHIP,0,0,0,0,0
Dale R Kerns Jr,U.S. Senate,,LIB,Bradford,TOWANDA TOWNSHIP,1,0,0,0,1
