candidate,office,district,party,county,precinct,votes,election_night,absentee
NEAL GALE,U.S. Senate,,GRN,Lawrence,0036 LITTLE BEAVER TWP,2,2.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Lawrence,0036 LITTLE BEAVER TWP,5,5.0,0.0
WRITE-IN,U.S. Senate,,,Lawrence,0036 LITTLE BEAVER TWP,0,0.0,0.0
TOM WOLF,Governor,,DEM,Lawrence,0036 LITTLE BEAVER TWP,128,127.0,1.0
SCOTT R WAGNER,Governor,,REP,Lawrence,0036 LITTLE BEAVER TWP,314,312.0,2.0
PAUL GLOVER,Governor,,GRN,Lawrence,0036 LITTLE BEAVER TWP,2,2.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Lawrence,0036 LITTLE BEAVER TWP,4,4.0,0.0
WRITE-IN,Governor,,,Lawrence,0036 LITTLE BEAVER TWP,0,0.0,0.0
RON DINICOLA,U.S. House,16.0,DEM,Lawrence,0036 LITTLE BEAVER TWP,101,100.0,1.0
MIKE KELLY,U.S. House,16.0,REP,Lawrence,0036 LITTLE BEAVER TWP,339,336.0,3.0
EBERT G BILL BEEMAN,U.S. House,16.0,LIB,Lawrence,0036 LITTLE BEAVER TWP,6,6.0,0.0
WRITE-IN,U.S. House,16.0,,Lawrence,0036 LITTLE BEAVER TWP,0,0.0,0.0
AARON BERNSTINE,State House,10.0,REP,Lawrence,0036 LITTLE BEAVER TWP,412,409.0,3.0
DARCELLE L. SLAPPY,State House,10.0,GRN,Lawrence,0036 LITTLE BEAVER TWP,35,34.0,1.0
WRITE-IN,State House,10.0,,Lawrence,0036 LITTLE BEAVER TWP,0,0.0,0.0
,Registered Voters,,,Lawrence,0037 MAHONING TWP D1,909,,
,Ballots Cast,,,Lawrence,0037 MAHONING TWP D1,532,513.0,18.0
,Straight Party,,DEM,Lawrence,0037 MAHONING TWP D1,120,113.0,6.0
,Straight Party,,REP,Lawrence,0037 MAHONING TWP D1,221,216.0,5.0
,Straight Party,,GRN,Lawrence,0037 MAHONING TWP D1,0,0.0,0.0
,Straight Party,,LIB,Lawrence,0037 MAHONING TWP D1,1,1.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Lawrence,0037 MAHONING TWP D1,191,183.0,7.0
LOU BARLETTA,U.S. Senate,,REP,Lawrence,0037 MAHONING TWP D1,334,323.0,11.0
NEAL GALE,U.S. Senate,,GRN,Lawrence,0037 MAHONING TWP D1,3,3.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Lawrence,0037 MAHONING TWP D1,4,4.0,0.0
WRITE-IN,U.S. Senate,,,Lawrence,0037 MAHONING TWP D1,0,0.0,0.0
TOM WOLF,Governor,,DEM,Lawrence,0037 MAHONING TWP D1,193,185.0,7.0
SCOTT R WAGNER,Governor,,REP,Lawrence,0037 MAHONING TWP D1,325,314.0,11.0
PAUL GLOVER,Governor,,GRN,Lawrence,0037 MAHONING TWP D1,6,6.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Lawrence,0037 MAHONING TWP D1,6,6.0,0.0
WRITE-IN,Governor,,,Lawrence,0037 MAHONING TWP D1,0,0.0,0.0
RON DINICOLA,U.S. House,16.0,DEM,Lawrence,0037 MAHONING TWP D1,189,181.0,7.0
MIKE KELLY,U.S. House,16.0,REP,Lawrence,0037 MAHONING TWP D1,335,324.0,11.0
EBERT G BILL BEEMAN,U.S. House,16.0,LIB,Lawrence,0037 MAHONING TWP D1,7,7.0,0.0
WRITE-IN,U.S. House,16.0,,Lawrence,0037 MAHONING TWP D1,0,0.0,0.0
CHRIS SAINATO,State House,9.0,DEM,Lawrence,0037 MAHONING TWP D1,248,235.0,12.0
GREGORY MICHALEK,State House,9.0,REP,Lawrence,0037 MAHONING TWP D1,279,273.0,6.0
WRITE-IN,State House,9.0,,Lawrence,0037 MAHONING TWP D1,3,3.0,0.0
,Registered Voters,,,Lawrence,0038 MAHONING TWP D2,860,,
,Ballots Cast,,,Lawrence,0038 MAHONING TWP D2,477,469.0,8.0
,Straight Party,,DEM,Lawrence,0038 MAHONING TWP D2,100,98.0,2.0
,Straight Party,,REP,Lawrence,0038 MAHONING TWP D2,153,151.0,2.0
,Straight Party,,GRN,Lawrence,0038 MAHONING TWP D2,1,1.0,0.0
,Straight Party,,LIB,Lawrence,0038 MAHONING TWP D2,3,3.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Lawrence,0038 MAHONING TWP D2,195,193.0,2.0
LOU BARLETTA,U.S. Senate,,REP,Lawrence,0038 MAHONING TWP D2,272,266.0,6.0
NEAL GALE,U.S. Senate,,GRN,Lawrence,0038 MAHONING TWP D2,0,0.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Lawrence,0038 MAHONING TWP D2,7,7.0,0.0
WRITE-IN,U.S. Senate,,,Lawrence,0038 MAHONING TWP D2,0,0.0,0.0
TOM WOLF,Governor,,DEM,Lawrence,0038 MAHONING TWP D2,201,196.0,5.0
SCOTT R WAGNER,Governor,,REP,Lawrence,0038 MAHONING TWP D2,262,259.0,3.0
PAUL GLOVER,Governor,,GRN,Lawrence,0038 MAHONING TWP D2,1,1.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Lawrence,0038 MAHONING TWP D2,9,9.0,0.0
WRITE-IN,Governor,,,Lawrence,0038 MAHONING TWP D2,0,0.0,0.0
RON DINICOLA,U.S. House,16.0,DEM,Lawrence,0038 MAHONING TWP D2,185,183.0,2.0
MIKE KELLY,U.S. House,16.0,REP,Lawrence,0038 MAHONING TWP D2,277,271.0,6.0
EBERT G BILL BEEMAN,U.S. House,16.0,LIB,Lawrence,0038 MAHONING TWP D2,9,9.0,0.0
WRITE-IN,U.S. House,16.0,,Lawrence,0038 MAHONING TWP D2,0,0.0,0.0
CHRIS SAINATO,State House,9.0,DEM,Lawrence,0038 MAHONING TWP D2,258,251.0,7.0
GREGORY MICHALEK,State House,9.0,REP,Lawrence,0038 MAHONING TWP D2,212,211.0,1.0
WRITE-IN,State House,9.0,,Lawrence,0038 MAHONING TWP D2,2,2.0,0.0
,Registered Voters,,,Lawrence,0039 NESHANNOCK TWP D1,696,,
,Ballots Cast,,,Lawrence,0039 NESHANNOCK TWP D1,415,377.0,38.0
,Straight Party,,DEM,Lawrence,0039 NESHANNOCK TWP D1,123,111.0,12.0
,Straight Party,,REP,Lawrence,0039 NESHANNOCK TWP D1,102,96.0,6.0
,Straight Party,,GRN,Lawrence,0039 NESHANNOCK TWP D1,0,0.0,0.0
,Straight Party,,LIB,Lawrence,0039 NESHANNOCK TWP D1,0,0.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Lawrence,0039 NESHANNOCK TWP D1,224,204.0,20.0
LOU BARLETTA,U.S. Senate,,REP,Lawrence,0039 NESHANNOCK TWP D1,182,167.0,15.0
NEAL GALE,U.S. Senate,,GRN,Lawrence,0039 NESHANNOCK TWP D1,1,1.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Lawrence,0039 NESHANNOCK TWP D1,2,2.0,0.0
WRITE-IN,U.S. Senate,,,Lawrence,0039 NESHANNOCK TWP D1,2,0.0,2.0
TOM WOLF,Governor,,DEM,Lawrence,0039 NESHANNOCK TWP D1,233,215.0,18.0
SCOTT R WAGNER,Governor,,REP,Lawrence,0039 NESHANNOCK TWP D1,168,152.0,16.0
PAUL GLOVER,Governor,,GRN,Lawrence,0039 NESHANNOCK TWP D1,5,5.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Lawrence,0039 NESHANNOCK TWP D1,3,3.0,0.0
WRITE-IN,Governor,,,Lawrence,0039 NESHANNOCK TWP D1,2,0.0,2.0
RON DINICOLA,U.S. House,16.0,DEM,Lawrence,0039 NESHANNOCK TWP D1,203,188.0,15.0
MIKE KELLY,U.S. House,16.0,REP,Lawrence,0039 NESHANNOCK TWP D1,203,184.0,19.0
EBERT G BILL BEEMAN,U.S. House,16.0,LIB,Lawrence,0039 NESHANNOCK TWP D1,3,3.0,0.0
WRITE-IN,U.S. House,16.0,,Lawrence,0039 NESHANNOCK TWP D1,2,0.0,2.0
CHRIS SAINATO,State House,9.0,DEM,Lawrence,0039 NESHANNOCK TWP D1,256,234.0,22.0
GREGORY MICHALEK,State House,9.0,REP,Lawrence,0039 NESHANNOCK TWP D1,152,138.0,14.0
WRITE-IN,State House,9.0,,Lawrence,0039 NESHANNOCK TWP D1,5,3.0,2.0
,Registered Voters,,,Lawrence,0040 NESHANNOCK TWP D2,731,,
,Ballots Cast,,,Lawrence,0040 NESHANNOCK TWP D2,500,473.0,27.0
,Straight Party,,DEM,Lawrence,0040 NESHANNOCK TWP D2,120,118.0,2.0
,Straight Party,,REP,Lawrence,0040 NESHANNOCK TWP D2,171,159.0,12.0
,Straight Party,,GRN,Lawrence,0040 NESHANNOCK TWP D2,0,0.0,0.0
,Straight Party,,LIB,Lawrence,0040 NESHANNOCK TWP D2,0,0.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Lawrence,0040 NESHANNOCK TWP D2,213,207.0,6.0
LOU BARLETTA,U.S. Senate,,REP,Lawrence,0040 NESHANNOCK TWP D2,270,250.0,20.0
NEAL GALE,U.S. Senate,,GRN,Lawrence,0040 NESHANNOCK TWP D2,3,3.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Lawrence,0040 NESHANNOCK TWP D2,5,5.0,0.0
WRITE-IN,U.S. Senate,,,Lawrence,0040 NESHANNOCK TWP D2,0,0.0,0.0
TOM WOLF,Governor,,DEM,Lawrence,0040 NESHANNOCK TWP D2,222,218.0,4.0
SCOTT R WAGNER,Governor,,REP,Lawrence,0040 NESHANNOCK TWP D2,268,245.0,23.0
PAUL GLOVER,Governor,,GRN,Lawrence,0040 NESHANNOCK TWP D2,2,2.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Lawrence,0040 NESHANNOCK TWP D2,3,3.0,0.0
WRITE-IN,Governor,,,Lawrence,0040 NESHANNOCK TWP D2,1,1.0,0.0
RON DINICOLA,U.S. House,16.0,DEM,Lawrence,0040 NESHANNOCK TWP D2,200,194.0,6.0
MIKE KELLY,U.S. House,16.0,REP,Lawrence,0040 NESHANNOCK TWP D2,293,272.0,21.0
EBERT G BILL BEEMAN,U.S. House,16.0,LIB,Lawrence,0040 NESHANNOCK TWP D2,2,2.0,0.0
WRITE-IN,U.S. House,16.0,,Lawrence,0040 NESHANNOCK TWP D2,0,0.0,0.0
CHRIS SAINATO,State House,9.0,DEM,Lawrence,0040 NESHANNOCK TWP D2,256,246.0,10.0
GREGORY MICHALEK,State House,9.0,REP,Lawrence,0040 NESHANNOCK TWP D2,240,223.0,17.0
WRITE-IN,State House,9.0,,Lawrence,0040 NESHANNOCK TWP D2,0,0.0,0.0
,Registered Voters,,,Lawrence,0041 NESHANNOCK TWP D3,1046,,
,Ballots Cast,,,Lawrence,0041 NESHANNOCK TWP D3,722,666.0,56.0
,Straight Party,,DEM,Lawrence,0041 NESHANNOCK TWP D3,146,121.0,15.0
,Straight Party,,REP,Lawrence,0041 NESHANNOCK TWP D3,257,238.0,19.0
,Straight Party,,GRN,Lawrence,0041 NESHANNOCK TWP D3,0,0.0,0.0
,Straight Party,,LIB,Lawrence,0041 NESHANNOCK TWP D3,0,0.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Lawrence,0041 NESHANNOCK TWP D3,259,241.0,18.0
LOU BARLETTA,U.S. Senate,,REP,Lawrence,0041 NESHANNOCK TWP D3,441,404.0,37.0
NEAL GALE,U.S. Senate,,GRN,Lawrence,0041 NESHANNOCK TWP D3,1,1.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Lawrence,0041 NESHANNOCK TWP D3,8,8.0,0.0
WRITE-IN,U.S. Senate,,,Lawrence,0041 NESHANNOCK TWP D3,1,1.0,0.0
TOM WOLF,Governor,,DEM,Lawrence,0041 NESHANNOCK TWP D3,296,274.0,22.0
SCOTT R WAGNER,Governor,,REP,Lawrence,0041 NESHANNOCK TWP D3,410,376.0,34.0
PAUL GLOVER,Governor,,GRN,Lawrence,0041 NESHANNOCK TWP D3,4,4.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Lawrence,0041 NESHANNOCK TWP D3,5,5.0,0.0
WRITE-IN,Governor,,,Lawrence,0041 NESHANNOCK TWP D3,3,3.0,0.0
RON DINICOLA,U.S. House,16.0,DEM,Lawrence,0041 NESHANNOCK TWP D3,246,229.0,17.0
MIKE KELLY,U.S. House,16.0,REP,Lawrence,0041 NESHANNOCK TWP D3,468,429.0,39.0
EBERT G BILL BEEMAN,U.S. House,16.0,LIB,Lawrence,0041 NESHANNOCK TWP D3,2,2.0,0.0
WRITE-IN,U.S. House,16.0,,Lawrence,0041 NESHANNOCK TWP D3,0,0.0,0.0
CHRIS SAINATO,State House,9.0,DEM,Lawrence,0041 NESHANNOCK TWP D3,329,304.0,25.0
GREGORY MICHALEK,State House,9.0,REP,Lawrence,0041 NESHANNOCK TWP D3,385,354.0,31.0
WRITE-IN,State House,9.0,,Lawrence,0041 NESHANNOCK TWP D3,1,1.0,0.0
,Registered Voters,,,Lawrence,0042 NESHANNOCK TWP D4,1067,,
,Ballots Cast,,,Lawrence,0042 NESHANNOCK TWP D4,740,706.0,33.0
,Straight Party,,DEM,Lawrence,0042 NESHANNOCK TWP D4,142,139.0,2.0
,Straight Party,,REP,Lawrence,0042 NESHANNOCK TWP D4,270,248.0,22.0
,Straight Party,,GRN,Lawrence,0042 NESHANNOCK TWP D4,0,0.0,0.0
,Straight Party,,LIB,Lawrence,0042 NESHANNOCK TWP D4,2,2.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Lawrence,0042 NESHANNOCK TWP D4,284,275.0,8.0
LOU BARLETTA,U.S. Senate,,REP,Lawrence,0042 NESHANNOCK TWP D4,443,418.0,25.0
NEAL GALE,U.S. Senate,,GRN,Lawrence,0042 NESHANNOCK TWP D4,2,2.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Lawrence,0042 NESHANNOCK TWP D4,5,5.0,0.0
WRITE-IN,U.S. Senate,,,Lawrence,0042 NESHANNOCK TWP D4,0,0.0,0.0
TOM WOLF,Governor,,DEM,Lawrence,0042 NESHANNOCK TWP D4,291,283.0,8.0
SCOTT R WAGNER,Governor,,REP,Lawrence,0042 NESHANNOCK TWP D4,431,406.0,25.0
PAUL GLOVER,Governor,,GRN,Lawrence,0042 NESHANNOCK TWP D4,4,4.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Lawrence,0042 NESHANNOCK TWP D4,5,5.0,0.0
WRITE-IN,Governor,,,Lawrence,0042 NESHANNOCK TWP D4,0,0.0,0.0
RON DINICOLA,U.S. House,16.0,DEM,Lawrence,0042 NESHANNOCK TWP D4,269,260.0,8.0
MIKE KELLY,U.S. House,16.0,REP,Lawrence,0042 NESHANNOCK TWP D4,461,436.0,25.0
EBERT G BILL BEEMAN,U.S. House,16.0,LIB,Lawrence,0042 NESHANNOCK TWP D4,2,2.0,0.0
WRITE-IN,U.S. House,16.0,,Lawrence,0042 NESHANNOCK TWP D4,1,1.0,0.0
CHRIS SAINATO,State House,9.0,DEM,Lawrence,0042 NESHANNOCK TWP D4,348,339.0,9.0
GREGORY MICHALEK,State House,9.0,REP,Lawrence,0042 NESHANNOCK TWP D4,382,358.0,24.0
WRITE-IN,State House,9.0,,Lawrence,0042 NESHANNOCK TWP D4,5,5.0,0.0
,Registered Voters,,,Lawrence,0043 NESHANNOCK TWP D5,819,,
,Ballots Cast,,,Lawrence,0043 NESHANNOCK TWP D5,566,550.0,16.0
,Straight Party,,DEM,Lawrence,0043 NESHANNOCK TWP D5,135,131.0,4.0
,Straight Party,,REP,Lawrence,0043 NESHANNOCK TWP D5,163,159.0,4.0
,Straight Party,,GRN,Lawrence,0043 NESHANNOCK TWP D5,0,0.0,0.0
,Straight Party,,LIB,Lawrence,0043 NESHANNOCK TWP D5,2,2.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Lawrence,0043 NESHANNOCK TWP D5,258,249.0,9.0
LOU BARLETTA,U.S. Senate,,REP,Lawrence,0043 NESHANNOCK TWP D5,299,292.0,7.0
NEAL GALE,U.S. Senate,,GRN,Lawrence,0043 NESHANNOCK TWP D5,0,0.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Lawrence,0043 NESHANNOCK TWP D5,2,2.0,0.0
WRITE-IN,U.S. Senate,,,Lawrence,0043 NESHANNOCK TWP D5,1,1.0,0.0
TOM WOLF,Governor,,DEM,Lawrence,0043 NESHANNOCK TWP D5,276,266.0,10.0
SCOTT R WAGNER,Governor,,REP,Lawrence,0043 NESHANNOCK TWP D5,278,272.0,6.0
PAUL GLOVER,Governor,,GRN,Lawrence,0043 NESHANNOCK TWP D5,3,3.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Lawrence,0043 NESHANNOCK TWP D5,5,5.0,0.0
WRITE-IN,Governor,,,Lawrence,0043 NESHANNOCK TWP D5,0,0.0,0.0
RON DINICOLA,U.S. House,16.0,DEM,Lawrence,0043 NESHANNOCK TWP D5,249,240.0,9.0
MIKE KELLY,U.S. House,16.0,REP,Lawrence,0043 NESHANNOCK TWP D5,311,304.0,7.0
EBERT G BILL BEEMAN,U.S. House,16.0,LIB,Lawrence,0043 NESHANNOCK TWP D5,2,2.0,0.0
WRITE-IN,U.S. House,16.0,,Lawrence,0043 NESHANNOCK TWP D5,2,2.0,0.0
CHRIS SAINATO,State House,9.0,DEM,Lawrence,0043 NESHANNOCK TWP D5,312,302.0,10.0
GREGORY MICHALEK,State House,9.0,REP,Lawrence,0043 NESHANNOCK TWP D5,251,245.0,6.0
WRITE-IN,State House,9.0,,Lawrence,0043 NESHANNOCK TWP D5,0,0.0,0.0
,Registered Voters,,,Lawrence,0044 NESHANNOCK TWP D6,741,,
,Ballots Cast,,,Lawrence,0044 NESHANNOCK TWP D6,502,477.0,25.0
,Straight Party,,DEM,Lawrence,0044 NESHANNOCK TWP D6,101,92.0,9.0
,Straight Party,,REP,Lawrence,0044 NESHANNOCK TWP D6,156,151.0,5.0
,Straight Party,,GRN,Lawrence,0044 NESHANNOCK TWP D6,1,1.0,0.0
,Straight Party,,LIB,Lawrence,0044 NESHANNOCK TWP D6,1,1.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Lawrence,0044 NESHANNOCK TWP D6,211,199.0,12.0
LOU BARLETTA,U.S. Senate,,REP,Lawrence,0044 NESHANNOCK TWP D6,281,268.0,13.0
NEAL GALE,U.S. Senate,,GRN,Lawrence,0044 NESHANNOCK TWP D6,1,1.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Lawrence,0044 NESHANNOCK TWP D6,5,5.0,0.0
WRITE-IN,U.S. Senate,,,Lawrence,0044 NESHANNOCK TWP D6,0,0.0,0.0
TOM WOLF,Governor,,DEM,Lawrence,0044 NESHANNOCK TWP D6,216,203.0,13.0
SCOTT R WAGNER,Governor,,REP,Lawrence,0044 NESHANNOCK TWP D6,271,259.0,12.0
PAUL GLOVER,Governor,,GRN,Lawrence,0044 NESHANNOCK TWP D6,2,2.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Lawrence,0044 NESHANNOCK TWP D6,8,8.0,0.0
WRITE-IN,Governor,,,Lawrence,0044 NESHANNOCK TWP D6,1,1.0,0.0
RON DINICOLA,U.S. House,16.0,DEM,Lawrence,0044 NESHANNOCK TWP D6,206,195.0,11.0
MIKE KELLY,U.S. House,16.0,REP,Lawrence,0044 NESHANNOCK TWP D6,288,274.0,14.0
EBERT G BILL BEEMAN,U.S. House,16.0,LIB,Lawrence,0044 NESHANNOCK TWP D6,5,5.0,0.0
WRITE-IN,U.S. House,16.0,,Lawrence,0044 NESHANNOCK TWP D6,0,0.0,0.0
CHRIS SAINATO,State House,9.0,DEM,Lawrence,0044 NESHANNOCK TWP D6,264,246.0,18.0
GREGORY MICHALEK,State House,9.0,REP,Lawrence,0044 NESHANNOCK TWP D6,236,229.0,7.0
WRITE-IN,State House,9.0,,Lawrence,0044 NESHANNOCK TWP D6,1,1.0,0.0
,Registered Voters,,,Lawrence,0045 NESHANNOCK TWP D7,926,,
,Ballots Cast,,,Lawrence,0045 NESHANNOCK TWP D7,632,585.0,46.0
,Straight Party,,DEM,Lawrence,0045 NESHANNOCK TWP D7,150,142.0,8.0
,Straight Party,,REP,Lawrence,0045 NESHANNOCK TWP D7,224,205.0,19.0
,Straight Party,,GRN,Lawrence,0045 NESHANNOCK TWP D7,0,0.0,0.0
,Straight Party,,LIB,Lawrence,0045 NESHANNOCK TWP D7,0,0.0,
"BOB CASEY, JR",U.S. Senate,,DEM,Lawrence,0045 NESHANNOCK TWP D7,265,246.0,18.0
LOU BARLETTA,U.S. Senate,,REP,Lawrence,0045 NESHANNOCK TWP D7,358,330.0,28.0
NEAL GALE,U.S. Senate,,GRN,Lawrence,0045 NESHANNOCK TWP D7,1,1.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Lawrence,0045 NESHANNOCK TWP D7,1,1.0,0.0
WRITE-IN,U.S. Senate,,,Lawrence,0045 NESHANNOCK TWP D7,0,0.0,0.0
TOM WOLF,Governor,,DEM,Lawrence,0045 NESHANNOCK TWP D7,290,270.0,19.0
SCOTT R WAGNER,Governor,,REP,Lawrence,0045 NESHANNOCK TWP D7,331,304.0,27.0
PAUL GLOVER,Governor,,GRN,Lawrence,0045 NESHANNOCK TWP D7,0,0.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Lawrence,0045 NESHANNOCK TWP D7,0,0.0,0.0
WRITE-IN,Governor,,,Lawrence,0045 NESHANNOCK TWP D7,1,1.0,0.0
RON DINICOLA,U.S. House,16.0,DEM,Lawrence,0045 NESHANNOCK TWP D7,254,237.0,16.0
MIKE KELLY,U.S. House,16.0,REP,Lawrence,0045 NESHANNOCK TWP D7,372,342.0,30.0
EBERT G BILL BEEMAN,U.S. House,16.0,LIB,Lawrence,0045 NESHANNOCK TWP D7,1,1.0,0.0
WRITE-IN,U.S. House,16.0,,Lawrence,0045 NESHANNOCK TWP D7,0,0.0,0.0
CHRIS SAINATO,State House,9.0,DEM,Lawrence,0045 NESHANNOCK TWP D7,353,332.0,21.0
GREGORY MICHALEK,State House,9.0,REP,Lawrence,0045 NESHANNOCK TWP D7,269,244.0,25.0
WRITE-IN,State House,9.0,,Lawrence,0045 NESHANNOCK TWP D7,0,0.0,0.0
,Registered Voters,,,Lawrence,0046 NESHANNOCK TWP D8,988,,
,Ballots Cast,,,Lawrence,0046 NESHANNOCK TWP D8,640,609.0,30.0
,Straight Party,,DEM,Lawrence,0046 NESHANNOCK TWP D8,153,141.0,11.0
,Straight Party,,REP,Lawrence,0046 NESHANNOCK TWP D8,190,185.0,5.0
,Straight Party,,GRN,Lawrence,0046 NESHANNOCK TWP D8,1,1.0,0.0
,Straight Party,,LIB,Lawrence,0046 NESHANNOCK TWP D8,1,1.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Lawrence,0046 NESHANNOCK TWP D8,293,277.0,15.0
LOU BARLETTA,U.S. Senate,,REP,Lawrence,0046 NESHANNOCK TWP D8,332,319.0,13.0
NEAL GALE,U.S. Senate,,GRN,Lawrence,0046 NESHANNOCK TWP D8,2,2.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Lawrence,0046 NESHANNOCK TWP D8,6,4.0,2.0
WRITE-IN,U.S. Senate,,,Lawrence,0046 NESHANNOCK TWP D8,0,0.0,0.0
TOM WOLF,Governor,,DEM,Lawrence,0046 NESHANNOCK TWP D8,331,313.0,17.0
SCOTT R WAGNER,Governor,,REP,Lawrence,0046 NESHANNOCK TWP D8,300,288.0,12.0
PAUL GLOVER,Governor,,GRN,Lawrence,0046 NESHANNOCK TWP D8,3,2.0,1.0
KEN V KRAWCHUK,Governor,,LIB,Lawrence,0046 NESHANNOCK TWP D8,3,3.0,0.0
WRITE-IN,Governor,,,Lawrence,0046 NESHANNOCK TWP D8,0,0.0,0.0
RON DINICOLA,U.S. House,16.0,DEM,Lawrence,0046 NESHANNOCK TWP D8,275,261.0,13.0
MIKE KELLY,U.S. House,16.0,REP,Lawrence,0046 NESHANNOCK TWP D8,353,338.0,15.0
EBERT G BILL BEEMAN,U.S. House,16.0,LIB,Lawrence,0046 NESHANNOCK TWP D8,6,5.0,1.0
WRITE-IN,U.S. House,16.0,,Lawrence,0046 NESHANNOCK TWP D8,0,0.0,0.0
CHRIS SAINATO,State House,9.0,DEM,Lawrence,0046 NESHANNOCK TWP D8,368,344.0,23.0
GREGORY MICHALEK,State House,9.0,REP,Lawrence,0046 NESHANNOCK TWP D8,268,261.0,7.0
WRITE-IN,State House,9.0,,Lawrence,0046 NESHANNOCK TWP D8,1,1.0,0.0
,Registered Voters,,,Lawrence,0047 NORTH BEAVER TWP D1,820,,
,Ballots Cast,,,Lawrence,0047 NORTH BEAVER TWP D1,478,461.0,15.0
,Straight Party,,DEM,Lawrence,0047 NORTH BEAVER TWP D1,83,76.0,5.0
,Straight Party,,REP,Lawrence,0047 NORTH BEAVER TWP D1,143,138.0,5.0
,Straight Party,,GRN,Lawrence,0047 NORTH BEAVER TWP D1,1,1.0,0.0
,Straight Party,,LIB,Lawrence,0047 NORTH BEAVER TWP D1,7,7.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Lawrence,0047 NORTH BEAVER TWP D1,183,173.0,8.0
LOU BARLETTA,U.S. Senate,,REP,Lawrence,0047 NORTH BEAVER TWP D1,276,269.0,7.0
NEAL GALE,U.S. Senate,,GRN,Lawrence,0047 NORTH BEAVER TWP D1,3,3.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Lawrence,0047 NORTH BEAVER TWP D1,13,13.0,0.0
WRITE-IN,U.S. Senate,,,Lawrence,0047 NORTH BEAVER TWP D1,0,0.0,0.0
TOM WOLF,Governor,,DEM,Lawrence,0047 NORTH BEAVER TWP D1,210,200.0,8.0
SCOTT R WAGNER,Governor,,REP,Lawrence,0047 NORTH BEAVER TWP D1,257,250.0,7.0
PAUL GLOVER,Governor,,GRN,Lawrence,0047 NORTH BEAVER TWP D1,2,2.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Lawrence,0047 NORTH BEAVER TWP D1,9,9.0,0.0
WRITE-IN,Governor,,,Lawrence,0047 NORTH BEAVER TWP D1,0,0.0,0.0
RON DINICOLA,U.S. House,16.0,DEM,Lawrence,0047 NORTH BEAVER TWP D1,174,165.0,7.0
MIKE KELLY,U.S. House,16.0,REP,Lawrence,0047 NORTH BEAVER TWP D1,291,283.0,8.0
EBERT G BILL BEEMAN,U.S. House,16.0,LIB,Lawrence,0047 NORTH BEAVER TWP D1,10,10.0,0.0
WRITE-IN,U.S. House,16.0,,Lawrence,0047 NORTH BEAVER TWP D1,1,1.0,0.0
CHRIS SAINATO,State House,9.0,DEM,Lawrence,0047 NORTH BEAVER TWP D1,242,231.0,9.0
GREGORY MICHALEK,State House,9.0,REP,Lawrence,0047 NORTH BEAVER TWP D1,234,228.0,6.0
WRITE-IN,State House,9.0,,Lawrence,0047 NORTH BEAVER TWP D1,0,0.0,0.0
,Registered Voters,,,Lawrence,0048 NORTH BEAVER TWP D2,929,,
,Ballots Cast,,,Lawrence,0048 NORTH BEAVER TWP D2,614,584.0,29.0
,Straight Party,,DEM,Lawrence,0048 NORTH BEAVER TWP D2,112,104.0,8.0
,Straight Party,,REP,Lawrence,0048 NORTH BEAVER TWP D2,232,220.0,12.0
,Straight Party,,GRN,Lawrence,0048 NORTH BEAVER TWP D2,2,2.0,0.0
,Straight Party,,LIB,Lawrence,0048 NORTH BEAVER TWP D2,1,1.0,0.0
