candidate,office,district,party,county,precinct,votes,election_day,absentee,provisional
KEN V KRAWCHUK,Governor,,LIB,Venango,Sugarcreek Boro 3,5,4.0,1.0,0.0
WRITE-IN,Governor,,,Venango,Sugarcreek Boro 3,0,0.0,0.0,0.0
SUSAN BOSER,U.S. House,15.0,DEM,Venango,Sugarcreek Boro 3,125,118.0,7.0,0.0
GLENN GT THOMPSON,U.S. House,15.0,REP,Venango,Sugarcreek Boro 3,250,236.0,14.0,0.0
WRITE-IN,U.S. House,15.0,,Venango,Sugarcreek Boro 3,0,0.0,0.0,0.0
JOHN KLUCK,State House,64.0,DEM,Venango,Sugarcreek Boro 3,128,121.0,7.0,0.0
R. LEE JAMES,State House,64.0,REP,Venango,Sugarcreek Boro 3,248,234.0,14.0,0.0
WRITE-IN,State House,64.0,,Venango,Sugarcreek Boro 3,0,0.0,0.0,0.0
,Registered Voters,,,Venango,Sugarcreek Boro 5,758,,,
,Ballots Cast,,,Venango,Sugarcreek Boro 5,462,440.0,22.0,0.0
,Straight Party,,DEM,Venango,Sugarcreek Boro 5,60,53.0,7.0,0.0
,Straight Party,,REP,Venango,Sugarcreek Boro 5,177,171.0,6.0,0.0
,Straight Party,,GRN,Venango,Sugarcreek Boro 5,1,1.0,0.0,0.0
,Straight Party,,LIB,Venango,Sugarcreek Boro 5,0,0.0,0.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Venango,Sugarcreek Boro 5,151,140.0,11.0,0.0
LOU BARLETTA,U.S. Senate,,REP,Venango,Sugarcreek Boro 5,297,287.0,10.0,0.0
NEAL GALE,U.S. Senate,,GRN,Venango,Sugarcreek Boro 5,3,3.0,0.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Venango,Sugarcreek Boro 5,3,3.0,0.0,0.0
WRITE-IN,U.S. Senate,,,Venango,Sugarcreek Boro 5,0,0.0,0.0,0.0
TOM WOLF,Governor,,DEM,Venango,Sugarcreek Boro 5,163,150.0,13.0,0.0
SCOTT R WAGNER,Governor,,REP,Venango,Sugarcreek Boro 5,283,276.0,7.0,0.0
PAUL GLOVER,Governor,,GRN,Venango,Sugarcreek Boro 5,3,3.0,0.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Venango,Sugarcreek Boro 5,6,6.0,0.0,0.0
WRITE-IN,Governor,,,Venango,Sugarcreek Boro 5,3,2.0,1.0,0.0
SUSAN BOSER,U.S. House,15.0,DEM,Venango,Sugarcreek Boro 5,130,119.0,11.0,0.0
GLENN GT THOMPSON,U.S. House,15.0,REP,Venango,Sugarcreek Boro 5,327,316.0,11.0,0.0
WRITE-IN,U.S. House,15.0,,Venango,Sugarcreek Boro 5,1,1.0,0.0,0.0
JOHN KLUCK,State House,64.0,DEM,Venango,Sugarcreek Boro 5,131,123.0,8.0,0.0
R. LEE JAMES,State House,64.0,REP,Venango,Sugarcreek Boro 5,323,310.0,13.0,0.0
WRITE-IN,State House,64.0,,Venango,Sugarcreek Boro 5,0,0.0,0.0,0.0
,Registered Voters,,,Venango,Utica Boro,108,,,
,Ballots Cast,,,Venango,Utica Boro,77,73.0,4.0,0.0
,Straight Party,,DEM,Venango,Utica Boro,14,14.0,0.0,0.0
,Straight Party,,REP,Venango,Utica Boro,25,25.0,0.0,0.0
,Straight Party,,GRN,Venango,Utica Boro,0,0.0,0.0,0.0
,Straight Party,,LIB,Venango,Utica Boro,0,0.0,0.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Venango,Utica Boro,28,27.0,1.0,0.0
LOU BARLETTA,U.S. Senate,,REP,Venango,Utica Boro,45,44.0,1.0,0.0
NEAL GALE,U.S. Senate,,GRN,Venango,Utica Boro,1,1.0,0.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Venango,Utica Boro,0,0.0,0.0,0.0
WRITE-IN,U.S. Senate,,,Venango,Utica Boro,0,0.0,0.0,0.0
TOM WOLF,Governor,,DEM,Venango,Utica Boro,29,25.0,4.0,0.0
SCOTT R WAGNER,Governor,,REP,Venango,Utica Boro,44,44.0,0.0,0.0
PAUL GLOVER,Governor,,GRN,Venango,Utica Boro,1,1.0,0.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Venango,Utica Boro,1,1.0,0.0,0.0
WRITE-IN,Governor,,,Venango,Utica Boro,0,0.0,0.0,0.0
SUSAN BOSER,U.S. House,15.0,DEM,Venango,Utica Boro,25,23.0,2.0,0.0
GLENN GT THOMPSON,U.S. House,15.0,REP,Venango,Utica Boro,49,47.0,2.0,0.0
WRITE-IN,U.S. House,15.0,,Venango,Utica Boro,0,0.0,0.0,0.0
JOHN KLUCK,State House,64.0,DEM,Venango,Utica Boro,28,26.0,2.0,0.0
R. LEE JAMES,State House,64.0,REP,Venango,Utica Boro,47,46.0,1.0,0.0
WRITE-IN,State House,64.0,,Venango,Utica Boro,0,0.0,0.0,0.0
,Registered Voters,,,Venango,Victory Twp,232,,,
,Ballots Cast,,,Venango,Victory Twp,148,143.0,5.0,0.0
,Straight Party,,DEM,Venango,Victory Twp,21,20.0,1.0,0.0
,Straight Party,,REP,Venango,Victory Twp,64,61.0,3.0,0.0
,Straight Party,,GRN,Venango,Victory Twp,1,1.0,0.0,0.0
,Straight Party,,LIB,Venango,Victory Twp,0,0.0,0.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Venango,Victory Twp,44,42.0,2.0,0.0
LOU BARLETTA,U.S. Senate,,REP,Venango,Victory Twp,94,91.0,3.0,0.0
NEAL GALE,U.S. Senate,,GRN,Venango,Victory Twp,2,2.0,0.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Venango,Victory Twp,3,3.0,0.0,0.0
WRITE-IN,U.S. Senate,,,Venango,Victory Twp,0,0.0,0.0,0.0
TOM WOLF,Governor,,DEM,Venango,Victory Twp,45,44.0,1.0,0.0
SCOTT R WAGNER,Governor,,REP,Venango,Victory Twp,95,91.0,4.0,0.0
PAUL GLOVER,Governor,,GRN,Venango,Victory Twp,0,0.0,0.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Venango,Victory Twp,4,4.0,0.0,0.0
WRITE-IN,Governor,,,Venango,Victory Twp,0,0.0,0.0,0.0
SUSAN BOSER,U.S. House,15.0,DEM,Venango,Victory Twp,35,34.0,1.0,0.0
GLENN GT THOMPSON,U.S. House,15.0,REP,Venango,Victory Twp,109,105.0,4.0,0.0
WRITE-IN,U.S. House,15.0,,Venango,Victory Twp,0,0.0,0.0,0.0
JOHN KLUCK,State House,64.0,DEM,Venango,Victory Twp,33,32.0,1.0,0.0
R. LEE JAMES,State House,64.0,REP,Venango,Victory Twp,111,107.0,4.0,0.0
WRITE-IN,State House,64.0,,Venango,Victory Twp,0,0.0,0.0,0.0
