county,precinct,office,district,party,candidate,votes,mail
Northumberland,East Chillisquaque Township,Auditor General,,GRN,OLIVIA FAISON,7,1
Northumberland,East Chillisquaque Township,Auditor General,,,Write-ins,1,0
Northumberland,East Chillisquaque Township,State Treasurer,,DEM,JOE TORSELLA,60,21
Northumberland,East Chillisquaque Township,State Treasurer,,REP,STACY L GARRITY,284,19
Northumberland,East Chillisquaque Township,State Treasurer,,LIB,JOE SOLOSKI,5,2
Northumberland,East Chillisquaque Township,State Treasurer,,GRN,TIMOTHY RUNKLE,8,1
Northumberland,East Chillisquaque Township,State Treasurer,,,Write-ins,1,0
Northumberland,East Chillisquaque Township,U.S. House,12,DEM,LEE GRIFFIN,56,20
Northumberland,East Chillisquaque Township,U.S. House,12,REP,FRED KELLER,300,24
Northumberland,East Chillisquaque Township,U.S. House,12,,Write-ins,0,0
Northumberland,East Chillisquaque Township,State Senate,27,DEM,MICHELLE SIEGEL,60,21
Northumberland,East Chillisquaque Township,State Senate,27,REP,JOHN R GORDNER,295,23
Northumberland,East Chillisquaque Township,State Senate,27,,Write-ins,1,0
Northumberland,East Chillisquaque Township,State House,108,REP,LYNDA J SCHLEGEL CULVER,335,33
Northumberland,East Chillisquaque Township,State House,108,,Write-ins,9,3
Northumberland,Herndon Borough,Registered Voters,,,,217,
Northumberland,Herndon Borough,Ballots Cast,,,,159,30
Northumberland,Herndon Borough,Ballots Cast - Blank,,,,0,0
Northumberland,Herndon Borough,President,,DEM,Joseph R. Biden,44,17
Northumberland,Herndon Borough,President,,REP,Donald J. Trump,113,13
Northumberland,Herndon Borough,President,,LIB,Jo Jorgensen,2,0
Northumberland,Herndon Borough,President,,,Write-ins,0,0
Northumberland,Herndon Borough,Attorney General,,DEM,JOSH SHAPIRO,46,16
Northumberland,Herndon Borough,Attorney General,,REP,HEATHER HEIDELBAUGH,107,12
Northumberland,Herndon Borough,Attorney General,,LIB,DANIEL WASSMER,3,0
Northumberland,Herndon Borough,Attorney General,,GRN,RICHARD L WEISS,3,2
Northumberland,Herndon Borough,Attorney General,,,Write-ins,0,0
Northumberland,Herndon Borough,Auditor General,,DEM,NINA AHMAD,40,12
Northumberland,Herndon Borough,Auditor General,,REP,TIMOTHY DEFOOR,113,16
Northumberland,Herndon Borough,Auditor General,,LIB,JENNIFER MOORE,3,0
Northumberland,Herndon Borough,Auditor General,,GRN,OLIVIA FAISON,3,2
Northumberland,Herndon Borough,Auditor General,,,Write-ins,0,0
Northumberland,Herndon Borough,State Treasurer,,DEM,JOE TORSELLA,36,12
Northumberland,Herndon Borough,State Treasurer,,REP,STACY L GARRITY,116,17
Northumberland,Herndon Borough,State Treasurer,,LIB,JOE SOLOSKI,3,0
Northumberland,Herndon Borough,State Treasurer,,GRN,TIMOTHY RUNKLE,3,1
Northumberland,Herndon Borough,State Treasurer,,,Write-ins,0,0
Northumberland,Herndon Borough,U.S. House,12,DEM,LEE GRIFFIN,41,15
Northumberland,Herndon Borough,U.S. House,12,REP,FRED KELLER,118,15
Northumberland,Herndon Borough,U.S. House,12,,Write-ins,0,0
Northumberland,Herndon Borough,State Senate,27,DEM,MICHELLE SIEGEL,38,14
Northumberland,Herndon Borough,State Senate,27,REP,JOHN R GORDNER,121,16
Northumberland,Herndon Borough,State Senate,27,,Write-ins,0,0
Northumberland,Herndon Borough,State House,108,REP,LYNDA J SCHLEGEL CULVER,146,27
Northumberland,Herndon Borough,State House,108,,Write-ins,2,0
Northumberland,Jackson Township,Registered Voters,,,,615,
Northumberland,Jackson Township,Ballots Cast,,,,511,63
Northumberland,Jackson Township,Ballots Cast - Blank,,,,0,0
Northumberland,Jackson Township,President,,DEM,Joseph R. Biden,77,26
Northumberland,Jackson Township,President,,REP,Donald J. Trump,424,34
Northumberland,Jackson Township,President,,LIB,Jo Jorgensen,7,2
Northumberland,Jackson Township,President,,,Write-ins,0,0
Northumberland,Jackson Township,Attorney General,,DEM,JOSH SHAPIRO,91,29
Northumberland,Jackson Township,Attorney General,,REP,HEATHER HEIDELBAUGH,398,30
Northumberland,Jackson Township,Attorney General,,LIB,DANIEL WASSMER,10,2
Northumberland,Jackson Township,Attorney General,,GRN,RICHARD L WEISS,7,1
Northumberland,Jackson Township,Attorney General,,,Write-ins,0,0
Northumberland,Jackson Township,Auditor General,,DEM,NINA AHMAD,69,20
Northumberland,Jackson Township,Auditor General,,REP,TIMOTHY DEFOOR,414,39
Northumberland,Jackson Township,Auditor General,,LIB,JENNIFER MOORE,17,3
Northumberland,Jackson Township,Auditor General,,GRN,OLIVIA FAISON,1,0
Northumberland,Jackson Township,Auditor General,,,Write-ins,0,0
Northumberland,Jackson Township,State Treasurer,,DEM,JOE TORSELLA,76,27
Northumberland,Jackson Township,State Treasurer,,REP,STACY L GARRITY,413,32
Northumberland,Jackson Township,State Treasurer,,LIB,JOE SOLOSKI,8,3
Northumberland,Jackson Township,State Treasurer,,GRN,TIMOTHY RUNKLE,3,0
Northumberland,Jackson Township,State Treasurer,,,Write-ins,1,0
Northumberland,Jackson Township,U.S. House,12,DEM,LEE GRIFFIN,66,22
Northumberland,Jackson Township,U.S. House,12,REP,FRED KELLER,438,40
Northumberland,Jackson Township,U.S. House,12,,Write-ins,1,0
Northumberland,Jackson Township,State Senate,27,DEM,MICHELLE SIEGEL,64,22
Northumberland,Jackson Township,State Senate,27,REP,JOHN R GORDNER,436,40
Northumberland,Jackson Township,State Senate,27,,Write-ins,1,0
Northumberland,Jackson Township,State House,108,REP,LYNDA J SCHLEGEL CULVER,490,56
Northumberland,Jackson Township,State House,108,,Write-ins,4,1
Northumberland,Jordan Township,Registered Voters,,,,534,
Northumberland,Jordan Township,Ballots Cast,,,,438,55
Northumberland,Jordan Township,Ballots Cast - Blank,,,,0,0
Northumberland,Jordan Township,President,,DEM,Joseph R. Biden,67,32
Northumberland,Jordan Township,President,,REP,Donald J. Trump,367,22
Northumberland,Jordan Township,President,,LIB,Jo Jorgensen,4,1
Northumberland,Jordan Township,President,,,Write-ins,0,0
Northumberland,Jordan Township,Attorney General,,DEM,JOSH SHAPIRO,86,32
Northumberland,Jordan Township,Attorney General,,REP,HEATHER HEIDELBAUGH,337,22
Northumberland,Jordan Township,Attorney General,,LIB,DANIEL WASSMER,3,0
Northumberland,Jordan Township,Attorney General,,GRN,RICHARD L WEISS,3,0
Northumberland,Jordan Township,Attorney General,,,Write-ins,0,0
Northumberland,Jordan Township,Auditor General,,DEM,NINA AHMAD,54,26
Northumberland,Jordan Township,Auditor General,,REP,TIMOTHY DEFOOR,362,26
Northumberland,Jordan Township,Auditor General,,LIB,JENNIFER MOORE,11,1
Northumberland,Jordan Township,Auditor General,,GRN,OLIVIA FAISON,2,0
Northumberland,Jordan Township,Auditor General,,,Write-ins,0,0
Northumberland,Jordan Township,State Treasurer,,DEM,JOE TORSELLA,65,31
Northumberland,Jordan Township,State Treasurer,,REP,STACY L GARRITY,356,22
Northumberland,Jordan Township,State Treasurer,,LIB,JOE SOLOSKI,6,0
Northumberland,Jordan Township,State Treasurer,,GRN,TIMOTHY RUNKLE,3,0
Northumberland,Jordan Township,State Treasurer,,,Write-ins,0,0
Northumberland,Jordan Township,U.S. House,12,DEM,LEE GRIFFIN,54,28
Northumberland,Jordan Township,U.S. House,12,REP,FRED KELLER,378,25
Northumberland,Jordan Township,U.S. House,12,,Write-ins,0,0
Northumberland,Jordan Township,State Senate,27,DEM,MICHELLE SIEGEL,59,26
Northumberland,Jordan Township,State Senate,27,REP,JOHN R GORDNER,372,27
Northumberland,Jordan Township,State Senate,27,,Write-ins,0,0
Northumberland,Jordan Township,State House,107,REP,KURT A MASSER,396,36
Northumberland,Jordan Township,State House,107,LIB,RYAN BOURINSKI,30,12
Northumberland,Jordan Township,State House,107,,Write-ins,1,1
Northumberland,Lewis Township,Registered Voters,,,,1167,
Northumberland,Lewis Township,Ballots Cast,,,,905,145
Northumberland,Lewis Township,Ballots Cast - Blank,,,,0,0
Northumberland,Lewis Township,President,,DEM,Joseph R. Biden,180,80
Northumberland,Lewis Township,President,,REP,Donald J. Trump,706,62
Northumberland,Lewis Township,President,,LIB,Jo Jorgensen,14,2
Northumberland,Lewis Township,President,,,Write-ins,2,1
Northumberland,Lewis Township,Attorney General,,DEM,JOSH SHAPIRO,209,85
Northumberland,Lewis Township,Attorney General,,REP,HEATHER HEIDELBAUGH,666,54
Northumberland,Lewis Township,Attorney General,,LIB,DANIEL WASSMER,11,2
Northumberland,Lewis Township,Attorney General,,GRN,RICHARD L WEISS,10,3
Northumberland,Lewis Township,Attorney General,,,Write-ins,0,0
Northumberland,Lewis Township,Auditor General,,DEM,NINA AHMAD,172,67
Northumberland,Lewis Township,Auditor General,,REP,TIMOTHY DEFOOR,676,66
Northumberland,Lewis Township,Auditor General,,LIB,JENNIFER MOORE,28,8
Northumberland,Lewis Township,Auditor General,,GRN,OLIVIA FAISON,12,2
Northumberland,Lewis Township,Auditor General,,,Write-ins,0,0
Northumberland,Lewis Township,State Treasurer,,DEM,JOE TORSELLA,184,73
Northumberland,Lewis Township,State Treasurer,,REP,STACY L GARRITY,678,66
Northumberland,Lewis Township,State Treasurer,,LIB,JOE SOLOSKI,21,4
Northumberland,Lewis Township,State Treasurer,,GRN,TIMOTHY RUNKLE,8,1
Northumberland,Lewis Township,State Treasurer,,,Write-ins,0,0
Northumberland,Lewis Township,U.S. House,12,DEM,LEE GRIFFIN,169,70
Northumberland,Lewis Township,U.S. House,12,REP,FRED KELLER,729,73
Northumberland,Lewis Township,U.S. House,12,,Write-ins,1,0
Northumberland,Lewis Township,State Senate,27,DEM,MICHELLE SIEGEL,167,66
Northumberland,Lewis Township,State Senate,27,REP,JOHN R GORDNER,724,76
Northumberland,Lewis Township,State Senate,27,,Write-ins,0,0
Northumberland,Lewis Township,State House,108,REP,LYNDA J SCHLEGEL CULVER,844,120
Northumberland,Lewis Township,State House,108,,Write-ins,8,6
Northumberland,Little Mahanoy Township,Registered Voters,,,,254,
Northumberland,Little Mahanoy Township,Ballots Cast,,,,213,31
Northumberland,Little Mahanoy Township,Ballots Cast - Blank,,,,0,0
Northumberland,Little Mahanoy Township,President,,DEM,Joseph R. Biden,43,21
Northumberland,Little Mahanoy Township,President,,REP,Donald J. Trump,160,9
Northumberland,Little Mahanoy Township,President,,LIB,Jo Jorgensen,9,1
Northumberland,Little Mahanoy Township,President,,,Write-ins,0,0
Northumberland,Little Mahanoy Township,Attorney General,,DEM,JOSH SHAPIRO,51,22
Northumberland,Little Mahanoy Township,Attorney General,,REP,HEATHER HEIDELBAUGH,153,6
Northumberland,Little Mahanoy Township,Attorney General,,LIB,DANIEL WASSMER,3,0
Northumberland,Little Mahanoy Township,Attorney General,,GRN,RICHARD L WEISS,1,0
Northumberland,Little Mahanoy Township,Attorney General,,,Write-ins,0,0
Northumberland,Little Mahanoy Township,Auditor General,,DEM,NINA AHMAD,39,19
Northumberland,Little Mahanoy Township,Auditor General,,REP,TIMOTHY DEFOOR,159,8
Northumberland,Little Mahanoy Township,Auditor General,,LIB,JENNIFER MOORE,10,0
Northumberland,Little Mahanoy Township,Auditor General,,GRN,OLIVIA FAISON,1,0
Northumberland,Little Mahanoy Township,Auditor General,,,Write-ins,0,0
Northumberland,Little Mahanoy Township,State Treasurer,,DEM,JOE TORSELLA,50,20
Northumberland,Little Mahanoy Township,State Treasurer,,REP,STACY L GARRITY,157,10
Northumberland,Little Mahanoy Township,State Treasurer,,LIB,JOE SOLOSKI,3,0
Northumberland,Little Mahanoy Township,State Treasurer,,GRN,TIMOTHY RUNKLE,2,0
Northumberland,Little Mahanoy Township,State Treasurer,,,Write-ins,0,0
Northumberland,Little Mahanoy Township,U.S. House,12,DEM,LEE GRIFFIN,41,19
Northumberland,Little Mahanoy Township,U.S. House,12,REP,FRED KELLER,167,9
Northumberland,Little Mahanoy Township,U.S. House,12,,Write-ins,0,0
Northumberland,Little Mahanoy Township,State Senate,27,DEM,MICHELLE SIEGEL,39,20
Northumberland,Little Mahanoy Township,State Senate,27,REP,JOHN R GORDNER,167,7
Northumberland,Little Mahanoy Township,State Senate,27,,Write-ins,0,0
Northumberland,Little Mahanoy Township,State House,108,REP,LYNDA J SCHLEGEL CULVER,195,24
Northumberland,Little Mahanoy Township,State House,108,,Write-ins,2,1
Northumberland,Lower Augusta Township,Registered Voters,,,,742,
Northumberland,Lower Augusta Township,Ballots Cast,,,,614,117
Northumberland,Lower Augusta Township,Ballots Cast - Blank,,,,0,0
Northumberland,Lower Augusta Township,President,,DEM,Joseph R. Biden,129,65
Northumberland,Lower Augusta Township,President,,REP,Donald J. Trump,473,49
Northumberland,Lower Augusta Township,President,,LIB,Jo Jorgensen,3,1
Northumberland,Lower Augusta Township,President,,,Write-ins,3,2
Northumberland,Lower Augusta Township,Attorney General,,DEM,JOSH SHAPIRO,145,65
Northumberland,Lower Augusta Township,Attorney General,,REP,HEATHER HEIDELBAUGH,439,46
Northumberland,Lower Augusta Township,Attorney General,,LIB,DANIEL WASSMER,14,4
Northumberland,Lower Augusta Township,Attorney General,,GRN,RICHARD L WEISS,5,2
Northumberland,Lower Augusta Township,Attorney General,,,Write-ins,0,0
Northumberland,Lower Augusta Township,Auditor General,,DEM,NINA AHMAD,117,59
Northumberland,Lower Augusta Township,Auditor General,,REP,TIMOTHY DEFOOR,446,50
Northumberland,Lower Augusta Township,Auditor General,,LIB,JENNIFER MOORE,27,5
Northumberland,Lower Augusta Township,Auditor General,,GRN,OLIVIA FAISON,6,2
Northumberland,Lower Augusta Township,Auditor General,,,Write-ins,0,0
Northumberland,Lower Augusta Township,State Treasurer,,DEM,JOE TORSELLA,126,61
Northumberland,Lower Augusta Township,State Treasurer,,REP,STACY L GARRITY,458,49
Northumberland,Lower Augusta Township,State Treasurer,,LIB,JOE SOLOSKI,17,5
Northumberland,Lower Augusta Township,State Treasurer,,GRN,TIMOTHY RUNKLE,4,2
Northumberland,Lower Augusta Township,State Treasurer,,,Write-ins,0,0
Northumberland,Lower Augusta Township,U.S. House,12,DEM,LEE GRIFFIN,118,62
Northumberland,Lower Augusta Township,U.S. House,12,REP,FRED KELLER,489,54
Northumberland,Lower Augusta Township,U.S. House,12,,Write-ins,0,0
Northumberland,Lower Augusta Township,State Senate,27,DEM,MICHELLE SIEGEL,120,61
Northumberland,Lower Augusta Township,State Senate,27,REP,JOHN R GORDNER,483,55
Northumberland,Lower Augusta Township,State Senate,27,,Write-ins,0,0
Northumberland,Lower Augusta Township,State House,108,REP,LYNDA J SCHLEGEL CULVER,559,91
Northumberland,Lower Augusta Township,State House,108,,Write-ins,13,11
Northumberland,Lower Mahanoy Township,Registered Voters,,,,1120,
Northumberland,Lower Mahanoy Township,Ballots Cast,,,,900,172
Northumberland,Lower Mahanoy Township,Ballots Cast - Blank,,,,0,0
Northumberland,Lower Mahanoy Township,President,,DEM,Joseph R. Biden,164,91
Northumberland,Lower Mahanoy Township,President,,REP,Donald J. Trump,713,78
Northumberland,Lower Mahanoy Township,President,,LIB,Jo Jorgensen,17,2
Northumberland,Lower Mahanoy Township,President,,,Write-ins,1,1
Northumberland,Lower Mahanoy Township,Attorney General,,DEM,JOSH SHAPIRO,192,92
Northumberland,Lower Mahanoy Township,Attorney General,,REP,HEATHER HEIDELBAUGH,678,74
Northumberland,Lower Mahanoy Township,Attorney General,,LIB,DANIEL WASSMER,14,3
Northumberland,Lower Mahanoy Township,Attorney General,,GRN,RICHARD L WEISS,2,0
Northumberland,Lower Mahanoy Township,Attorney General,,,Write-ins,1,1
Northumberland,Lower Mahanoy Township,Auditor General,,DEM,NINA AHMAD,151,79
Northumberland,Lower Mahanoy Township,Auditor General,,REP,TIMOTHY DEFOOR,701,83
Northumberland,Lower Mahanoy Township,Auditor General,,LIB,JENNIFER MOORE,24,4
Northumberland,Lower Mahanoy Township,Auditor General,,GRN,OLIVIA FAISON,4,1
Northumberland,Lower Mahanoy Township,Auditor General,,,Write-ins,0,0
Northumberland,Lower Mahanoy Township,State Treasurer,,DEM,JOE TORSELLA,179,90
Northumberland,Lower Mahanoy Township,State Treasurer,,REP,STACY L GARRITY,689,76
Northumberland,Lower Mahanoy Township,State Treasurer,,LIB,JOE SOLOSKI,12,1
Northumberland,Lower Mahanoy Township,State Treasurer,,GRN,TIMOTHY RUNKLE,3,0
Northumberland,Lower Mahanoy Township,State Treasurer,,,Write-ins,1,1
Northumberland,Lower Mahanoy Township,U.S. House,12,DEM,LEE GRIFFIN,150,84
Northumberland,Lower Mahanoy Township,U.S. House,12,REP,FRED KELLER,736,84
Northumberland,Lower Mahanoy Township,U.S. House,12,,Write-ins,0,0
Northumberland,Lower Mahanoy Township,State Senate,27,DEM,MICHELLE SIEGEL,157,82
Northumberland,Lower Mahanoy Township,State Senate,27,REP,JOHN R GORDNER,728,89
Northumberland,Lower Mahanoy Township,State Senate,27,,Write-ins,0,0
Northumberland,Lower Mahanoy Township,State House,108,REP,LYNDA J SCHLEGEL CULVER,841,143
Northumberland,Lower Mahanoy Township,State House,108,,Write-ins,12,6
Northumberland,McEwensville Borough,Registered Voters,,,,200,
Northumberland,McEwensville Borough,Ballots Cast,,,,155,12
Northumberland,McEwensville Borough,Ballots Cast - Blank,,,,0,0
Northumberland,McEwensville Borough,President,,DEM,Joseph R. Biden,30,5
Northumberland,McEwensville Borough,President,,REP,Donald J. Trump,117,7
Northumberland,McEwensville Borough,President,,LIB,Jo Jorgensen,6,0
Northumberland,McEwensville Borough,President,,,Write-ins,0,0
Northumberland,McEwensville Borough,Attorney General,,DEM,JOSH SHAPIRO,35,5
Northumberland,McEwensville Borough,Attorney General,,REP,HEATHER HEIDELBAUGH,110,6
Northumberland,McEwensville Borough,Attorney General,,LIB,DANIEL WASSMER,4,0
Northumberland,McEwensville Borough,Attorney General,,GRN,RICHARD L WEISS,2,0
Northumberland,McEwensville Borough,Attorney General,,,Write-ins,0,0
Northumberland,McEwensville Borough,Auditor General,,DEM,NINA AHMAD,26,5
Northumberland,McEwensville Borough,Auditor General,,REP,TIMOTHY DEFOOR,114,6
Northumberland,McEwensville Borough,Auditor General,,LIB,JENNIFER MOORE,8,0
Northumberland,McEwensville Borough,Auditor General,,GRN,OLIVIA FAISON,2,0
Northumberland,McEwensville Borough,Auditor General,,,Write-ins,0,0
Northumberland,McEwensville Borough,State Treasurer,,DEM,JOE TORSELLA,27,4
Northumberland,McEwensville Borough,State Treasurer,,REP,STACY L GARRITY,117,6
Northumberland,McEwensville Borough,State Treasurer,,LIB,JOE SOLOSKI,2,0
Northumberland,McEwensville Borough,State Treasurer,,GRN,TIMOTHY RUNKLE,3,0
Northumberland,McEwensville Borough,State Treasurer,,,Write-ins,0,0
Northumberland,McEwensville Borough,U.S. House,12,DEM,LEE GRIFFIN,26,5
Northumberland,McEwensville Borough,U.S. House,12,REP,FRED KELLER,127,7
Northumberland,McEwensville Borough,U.S. House,12,,Write-ins,0,0
Northumberland,McEwensville Borough,State Senate,27,DEM,MICHELLE SIEGEL,26,3
Northumberland,McEwensville Borough,State Senate,27,REP,JOHN R GORDNER,127,8
Northumberland,McEwensville Borough,State Senate,27,,Write-ins,0,0
Northumberland,McEwensville Borough,State House,108,REP,LYNDA J SCHLEGEL CULVER,143,10
Northumberland,McEwensville Borough,State House,108,,Write-ins,1,0
Northumberland,Milton Borough 1,Registered Voters,,,,672,
Northumberland,Milton Borough 1,Ballots Cast,,,,538,110
Northumberland,Milton Borough 1,Ballots Cast - Blank,,,,0,0
Northumberland,Milton Borough 1,President,,DEM,Joseph R. Biden,165,75
Northumberland,Milton Borough 1,President,,REP,Donald J. Trump,368,34
Northumberland,Milton Borough 1,President,,LIB,Jo Jorgensen,4,0
Northumberland,Milton Borough 1,President,,,Write-ins,1,1
Northumberland,Milton Borough 1,Attorney General,,DEM,JOSH SHAPIRO,179,75
Northumberland,Milton Borough 1,Attorney General,,REP,HEATHER HEIDELBAUGH,338,31
Northumberland,Milton Borough 1,Attorney General,,LIB,DANIEL WASSMER,6,0
Northumberland,Milton Borough 1,Attorney General,,GRN,RICHARD L WEISS,6,2
Northumberland,Milton Borough 1,Attorney General,,,Write-ins,0,0
Northumberland,Milton Borough 1,Auditor General,,DEM,NINA AHMAD,154,72
Northumberland,Milton Borough 1,Auditor General,,REP,TIMOTHY DEFOOR,359,34
Northumberland,Milton Borough 1,Auditor General,,LIB,JENNIFER MOORE,8,1
Northumberland,Milton Borough 1,Auditor General,,GRN,OLIVIA FAISON,6,1
Northumberland,Milton Borough 1,Auditor General,,,Write-ins,0,0
Northumberland,Milton Borough 1,State Treasurer,,DEM,JOE TORSELLA,150,71
Northumberland,Milton Borough 1,State Treasurer,,REP,STACY L GARRITY,361,35
Northumberland,Milton Borough 1,State Treasurer,,LIB,JOE SOLOSKI,9,1
Northumberland,Milton Borough 1,State Treasurer,,GRN,TIMOTHY RUNKLE,7,2
Northumberland,Milton Borough 1,State Treasurer,,,Write-ins,0,0
Northumberland,Milton Borough 1,U.S. House,12,DEM,LEE GRIFFIN,151,74
Northumberland,Milton Borough 1,U.S. House,12,REP,FRED KELLER,375,36
Northumberland,Milton Borough 1,U.S. House,12,,Write-ins,1,0
Northumberland,Milton Borough 1,State Senate,27,DEM,MICHELLE SIEGEL,147,70
Northumberland,Milton Borough 1,State Senate,27,REP,JOHN R GORDNER,374,39
Northumberland,Milton Borough 1,State Senate,27,,Write-ins,1,0
Northumberland,Milton Borough 1,State House,108,REP,LYNDA J SCHLEGEL CULVER,465,75
Northumberland,Milton Borough 1,State House,108,,Write-ins,15,5
Northumberland,Milton Borough 2,Registered Voters,,,,801,
Northumberland,Milton Borough 2,Ballots Cast,,,,584,155
Northumberland,Milton Borough 2,Ballots Cast - Blank,,,,0,0
Northumberland,Milton Borough 2,President,,DEM,Joseph R. Biden,214,102
Northumberland,Milton Borough 2,President,,REP,Donald J. Trump,361,51
Northumberland,Milton Borough 2,President,,LIB,Jo Jorgensen,7,1
Northumberland,Milton Borough 2,President,,,Write-ins,1,1
Northumberland,Milton Borough 2,Attorney General,,DEM,JOSH SHAPIRO,222,102
Northumberland,Milton Borough 2,Attorney General,,REP,HEATHER HEIDELBAUGH,340,47
Northumberland,Milton Borough 2,Attorney General,,LIB,DANIEL WASSMER,11,3
Northumberland,Milton Borough 2,Attorney General,,GRN,RICHARD L WEISS,7,1
Northumberland,Milton Borough 2,Attorney General,,,Write-ins,0,0
Northumberland,Milton Borough 2,Auditor General,,DEM,NINA AHMAD,205,92
Northumberland,Milton Borough 2,Auditor General,,REP,TIMOTHY DEFOOR,348,51
Northumberland,Milton Borough 2,Auditor General,,LIB,JENNIFER MOORE,20,8
Northumberland,Milton Borough 2,Auditor General,,GRN,OLIVIA FAISON,5,2
Northumberland,Milton Borough 2,Auditor General,,,Write-ins,0,0
Northumberland,Milton Borough 2,State Treasurer,,DEM,JOE TORSELLA,196,98
Northumberland,Milton Borough 2,State Treasurer,,REP,STACY L GARRITY,362,51
Northumberland,Milton Borough 2,State Treasurer,,LIB,JOE SOLOSKI,13,2
Northumberland,Milton Borough 2,State Treasurer,,GRN,TIMOTHY RUNKLE,5,1
Northumberland,Milton Borough 2,State Treasurer,,,Write-ins,0,0
Northumberland,Milton Borough 2,U.S. House,12,DEM,LEE GRIFFIN,191,93
Northumberland,Milton Borough 2,U.S. House,12,REP,FRED KELLER,384,60
Northumberland,Milton Borough 2,U.S. House,12,,Write-ins,2,0
Northumberland,Milton Borough 2,State Senate,27,DEM,MICHELLE SIEGEL,203,100
Northumberland,Milton Borough 2,State Senate,27,REP,JOHN R GORDNER,372,52
Northumberland,Milton Borough 2,State Senate,27,,Write-ins,1,1
Northumberland,Milton Borough 2,State House,108,REP,LYNDA J SCHLEGEL CULVER,487,103
Northumberland,Milton Borough 2,State House,108,,Write-ins,17,9
Northumberland,Milton Borough 3,Registered Voters,,,,927,
Northumberland,Milton Borough 3,Ballots Cast,,,,612,150
Northumberland,Milton Borough 3,Ballots Cast - Blank,,,,0,0
Northumberland,Milton Borough 3,President,,DEM,Joseph R. Biden,225,99
Northumberland,Milton Borough 3,President,,REP,Donald J. Trump,363,44
Northumberland,Milton Borough 3,President,,LIB,Jo Jorgensen,18,5
Northumberland,Milton Borough 3,President,,,Write-ins,4,1
Northumberland,Milton Borough 3,Attorney General,,DEM,JOSH SHAPIRO,243,102
Northumberland,Milton Borough 3,Attorney General,,REP,HEATHER HEIDELBAUGH,320,38
Northumberland,Milton Borough 3,Attorney General,,LIB,DANIEL WASSMER,18,2
Northumberland,Milton Borough 3,Attorney General,,GRN,RICHARD L WEISS,14,5
Northumberland,Milton Borough 3,Attorney General,,,Write-ins,0,0
Northumberland,Milton Borough 3,Auditor General,,DEM,NINA AHMAD,204,89
Northumberland,Milton Borough 3,Auditor General,,REP,TIMOTHY DEFOOR,343,48
Northumberland,Milton Borough 3,Auditor General,,LIB,JENNIFER MOORE,26,4
Northumberland,Milton Borough 3,Auditor General,,GRN,OLIVIA FAISON,19,6
Northumberland,Milton Borough 3,Auditor General,,,Write-ins,1,0
Northumberland,Milton Borough 3,State Treasurer,,DEM,JOE TORSELLA,200,82
Northumberland,Milton Borough 3,State Treasurer,,REP,STACY L GARRITY,347,55
Northumberland,Milton Borough 3,State Treasurer,,LIB,JOE SOLOSKI,29,4
Northumberland,Milton Borough 3,State Treasurer,,GRN,TIMOTHY RUNKLE,16,6
Northumberland,Milton Borough 3,State Treasurer,,,Write-ins,0,0
Northumberland,Milton Borough 3,U.S. House,12,DEM,LEE GRIFFIN,210,86
Northumberland,Milton Borough 3,U.S. House,12,REP,FRED KELLER,388,61
Northumberland,Milton Borough 3,U.S. House,12,,Write-ins,0,0
Northumberland,Milton Borough 3,State Senate,27,DEM,MICHELLE SIEGEL,217,88
Northumberland,Milton Borough 3,State Senate,27,REP,JOHN R GORDNER,376,58
Northumberland,Milton Borough 3,State Senate,27,,Write-ins,0,0
Northumberland,Milton Borough 3,State House,108,REP,LYNDA J SCHLEGEL CULVER,509,111
Northumberland,Milton Borough 3,State House,108,,Write-ins,16,8
Northumberland,Milton Borough 4,Registered Voters,,,,662,
Northumberland,Milton Borough 4,Ballots Cast,,,,410,109
Northumberland,Milton Borough 4,Ballots Cast - Blank,,,,0,0
Northumberland,Milton Borough 4,President,,DEM,Joseph R. Biden,144,69
Northumberland,Milton Borough 4,President,,REP,Donald J. Trump,251,36
Northumberland,Milton Borough 4,President,,LIB,Jo Jorgensen,12,4
Northumberland,Milton Borough 4,President,,,Write-ins,2,0
Northumberland,Milton Borough 4,Attorney General,,DEM,JOSH SHAPIRO,147,64
Northumberland,Milton Borough 4,Attorney General,,REP,HEATHER HEIDELBAUGH,236,38
Northumberland,Milton Borough 4,Attorney General,,LIB,DANIEL WASSMER,16,4
Northumberland,Milton Borough 4,Attorney General,,GRN,RICHARD L WEISS,7,2
Northumberland,Milton Borough 4,Attorney General,,,Write-ins,0,0
Northumberland,Milton Borough 4,Auditor General,,DEM,NINA AHMAD,128,62
Northumberland,Milton Borough 4,Auditor General,,REP,TIMOTHY DEFOOR,236,35
Northumberland,Milton Borough 4,Auditor General,,LIB,JENNIFER MOORE,26,7
Northumberland,Milton Borough 4,Auditor General,,GRN,OLIVIA FAISON,10,3
Northumberland,Milton Borough 4,Auditor General,,,Write-ins,1,0
Northumberland,Milton Borough 4,State Treasurer,,DEM,JOE TORSELLA,137,61
Northumberland,Milton Borough 4,State Treasurer,,REP,STACY L GARRITY,239,37
Northumberland,Milton Borough 4,State Treasurer,,LIB,JOE SOLOSKI,19,5
Northumberland,Milton Borough 4,State Treasurer,,GRN,TIMOTHY RUNKLE,8,4
Northumberland,Milton Borough 4,State Treasurer,,,Write-ins,0,0
Northumberland,Milton Borough 4,U.S. House,12,DEM,LEE GRIFFIN,143,62
